Day,Hour,HVAC (kW),EWH (kW),EV Charger (kW),Inflexible Load (kW)
1,0,77.76374831,56.54043504,49.47902056,54.99325915
,0.25,97.05433132,75.95662145,63.59055023,47.59205778
,0.5,118.4933276,73.1029167,74.42592073,44.79597498
,0.75,124.2570579,68.515129,69.81825833,44.89328651
,1,134.8417109,63.5008575,65.41197451,44.31402458
,1.25,141.8938861,55.70926326,57.66941851,44.91714194
,1.5,148.5198428,48.22652069,53.16094257,45.51982056
,1.75,151.2454074,42.04992436,48.88089608,46.45630718
,2,154.8196246,38.74534755,44.13497375,46.61878284
,2.25,151.3843933,38.43070316,37.52855368,47.23834082
,2.5,149.3229427,38.03498887,31.03033703,47.65610942
,2.75,144.718502,44.2073355,27.09293472,47.02118734
,3,141.9288815,50.39886642,26.17019998,46.09163087
,3.25,138.0176477,55.93509391,23.18859456,45.4871555
,3.5,136.646005,57.87071725,21.33110247,45.2764798
,3.75,135.2197926,59.44143239,22.13661684,45.15562598
,4,132.7775129,58.17911536,20.83817577,45.82690564
,4.25,131.5931485,54.28490207,18.35851401,46.88178467
,4.5,129.5145389,51.86372145,18.8213842,47.75240235
,4.75,126.3218813,51.92523021,16.68136096,48.24955895
,5,122.5449052,52.48157248,14.07846752,48.73024351
,5.25,117.9241477,53.6060117,11.15396946,49.21968933
,5.5,114.9580835,58.27309137,8.265539214,48.65713077
,5.75,106.9805796,68.30543762,3.57071294,47.70412113
,6,99.27441086,80.49976896,4.304091692,46.22725671
,6.25,89.71648308,92.62683765,4.502464634,45.06162101
,6.5,78.41759052,101.617984,5.154690819,44.8714113
,6.75,68.31382167,108.0330745,7.360838376,45.06243864
,7,63.97663771,110.0652905,9.563980283,45.30478453
,7.25,55.68919435,111.0103093,10.91952871,46.42077129
,7.5,44.56807591,110.605019,11.553721,48.29021474
,7.75,41.4983525,106.3031081,13.54646736,49.7373507
,8,36.02558796,100.9344278,15.40395944,51.80603309
,8.25,29.82734925,92.7134513,16.8617,54.62463494
,8.5,30.89576777,84.49409547,20.58870677,56.2802115
,8.75,34.01953526,76.6305734,25.04308099,57.52785805
,9,33.31415564,69.93961528,25.02805274,59.12759837
,9.25,35.5893849,63.49804567,27.63695748,60.1950216
,9.5,37.38405953,61.48382226,31.57135415,60.35547886
,9.75,37.93897178,64.62123904,33.83761472,59.56948917
,10,44.21604942,68.03783929,35.77024807,57.80591225
,10.25,47.56044631,72.75152439,43.13709774,56.22332317
,10.5,47.84522952,76.984275,48.55027452,55.23714661
,10.75,47.26802152,80.87075429,55.89307899,54.46583783
,11,52.06529416,82.9976718,59.69222138,53.22562587
,11.25,53.45308145,85.12232889,63.99330742,52.53143388
,11.5,57.56400507,83.71893536,67.7623933,52.18555133
,11.75,63.51268954,78.74493968,68.79333146,52.33909419
,12,70.44067596,74.28948574,69.57179497,52.22071724
,12.25,79.60980671,66.99792961,71.25796497,52.37400212
,12.5,86.79723361,64.04776424,73.76467759,51.87960612
,12.75,91.26236458,62.07974287,74.58522021,51.60252325
,13,97.83619472,65.49000342,77.41353745,49.79287475
,13.25,104.921788,67.68184454,77.47365046,48.17210403
,13.5,106.1304728,71.73235608,76.42768405,47.07860078
,13.75,105.8207931,73.04467183,74.28465515,46.83652381
,14,109.3858602,71.85231634,69.85432613,46.53108096
,14.25,112.1674342,68.20432072,64.93107041,46.89669481
,14.5,115.4761681,63.01912193,60.24826674,47.51956379
,14.75,117.3934721,56.27914125,58.5891476,48.71056864
,15,121.2872591,48.24038469,56.58137298,49.87395306
,15.25,121.2805466,42.3206376,56.77373462,51.19052641
,15.5,121.3772343,36.81697694,55.86903378,52.39809208
,15.75,120.1198165,36.72855939,54.03258125,52.61892727
,16,120.2014286,38.3422921,54.20089769,52.24726207
,16.25,116.1833261,43.01646443,56.28080792,51.85145351
,16.5,112.9044953,44.19429463,57.76559933,52.11432639
,16.75,105.9669728,49.67942937,63.4041999,52.00541117
,17,99.15636215,52.81485891,71.53147918,52.39834674
,17.25,88.6696495,57.24879481,79.76395624,53.09090168
,17.5,79.53908598,56.89886725,87.81609426,54.62955352
,17.75,71.47439726,57.02554302,98.3689336,55.89175354
,18,66.62942183,57.12362431,108.6753096,56.64515377
,18.25,58.55073063,60.83786747,122.591472,57.11235699
,18.5,48.40106985,65.39187712,130.4482427,57.72430058
,18.75,40.09245111,70.64579407,143.3575121,57.88614247
,19,31.03775355,76.50715112,152.9275037,58.03237029
,19.25,26.53051767,82.78719263,163.3961848,57.35796325
,19.5,22.45418541,90.54850323,169.416503,56.28544073
,19.75,22.73398807,96.60133386,178.7821104,54.89559883
,20,22.37916154,102.3106012,181.2527552,53.683645
,20.25,26.72088495,105.2390716,185.3344287,52.33819805
,20.5,28.00675954,106.4788558,187.465435,51.85695051
,20.75,30.64186327,108.4262936,186.7500902,51.00256997
,21,31.88750456,109.8463675,184.4237166,50.48769537
,21.25,34.80605847,111.9843726,178.3282571,49.5456145
,21.5,33.2301705,113.325278,172.0224021,49.49977761
,21.75,33.56094164,113.0200979,161.2140825,49.51467203
,22,36.08082167,110.2662524,152.7742155,49.72345689
,22.25,37.32192222,105.3969289,141.6442913,50.60695268
,22.5,43.51675685,99.9219194,135.7111369,50.83244793
,22.75,54.71283388,92.85828904,125.3206027,50.61077124
,23,65.36213258,86.50238381,116.5982046,50.31930683
,23.25,78.15148096,81.47441797,105.1496814,49.39033683
,23.5,91.54335675,76.09878917,96.02152046,48.44222088
,23.75,105.2848091,72.51457201,86.25916723,47.04008121
2,0,125.161915,70.56077461,80.7768605,44.29392146
,0.25,136.47197,67.84720818,74.38985292,43.08732743
,0.5,144.1842413,66.13853533,71.45032661,42.2330691
,0.75,151.1625922,64.7670335,68.69715064,41.42131113
,1,155.8430926,61.86603242,64.81084439,41.31709797
,1.25,159.4385003,55.4727567,58.69133972,42.16256069
,1.5,165.8250142,50.20280531,52.99863744,42.31181878
,1.75,166.5915094,42.3193234,48.24369815,43.94106441
,2,167.9986796,39.0716358,43.67510921,44.43762553
,2.25,170.1144482,37.44935847,41.38179778,44.45960863
,2.5,173.6778846,38.90234013,38.5685088,43.56657399
,2.75,170.030213,43.08928791,36.05277922,43.21976861
,3,168.0625725,48.52165621,31.06039354,42.32739812
,3.25,167.7745172,55.93537325,30.29395263,40.7259943
,3.5,167.3793409,60.69149214,25.52999639,39.73230721
,3.75,164.440912,62.7148731,22.59648139,39.75281561
,4,158.1634101,62.37876709,20.82615317,40.83190614
,4.25,153.1108519,61.7499892,21.15076344,41.78004388
,4.5,147.272962,60.18443181,16.93984691,43.06200791
,4.75,143.4072979,60.38923809,15.53921372,43.63500166
,5,137.2982707,62.82732667,11.78816174,44.07064854
,5.25,130.3004207,69.30380258,8.358714383,43.75108767
,5.5,123.7291987,78.46187489,7.586262173,42.767356
,5.75,116.6937694,89.63299875,9.488839017,41.41055273
,6,105.6277039,98.04139611,9.771370176,41.31259046
,6.25,100.0893706,104.0329067,11.84226346,40.86727698
,6.5,94.07313378,107.6968412,16.08323648,41.01566721
