Day,Hour,HVAC (kW),EWH (kW),EV Charger (kW),Inflexible Load (kW)
1,0,83.02665681,31.95904755,34.95674099,61.21372434
,0.25,105.9886898,39.77265819,42.13123053,55.80344114
,0.5,132.3719358,34.08100884,52.55865922,52.84693276
,0.75,143.0680669,28.70899373,49.18071884,52.32933291
,1,150.1663624,28.09020668,42.88705196,51.33111387
,1.25,156.9934086,27.0674247,38.69515005,50.46607135
,1.5,157.9376674,30.43916345,39.71550897,49.56571467
,1.75,158.4217188,31.87011014,34.60790033,49.17027829
,2,154.6201394,34.94514498,26.93921985,49.09518993
,2.25,155.6786483,35.52026779,25.1107134,48.79802343
,2.5,155.3122981,37.96219269,23.41011519,48.31398949
,2.75,154.1984222,35.98874768,17.12226232,48.93075296
,3,150.7414408,31.63417853,13.14838582,50.45155203
,3.25,150.6975732,27.03764022,17.85773471,51.4800238
,3.5,150.89227,26.35694214,17.33156672,51.60013855
,3.75,145.5728457,29.83551318,17.26179859,51.67823064
,4,141.2184222,31.36146874,15.8373659,52.03583718
,4.25,136.0135324,37.36305838,15.23852277,51.53493296
,4.5,129.519677,42.49172028,9.584397093,51.43424717
,4.75,121.1128399,51.21602059,7.93031097,50.8406077
,5,113.3201225,49.41423167,5.561101498,52.48784003
,5.25,107.2576817,51.05865337,6.930301083,53.09240351
,5.5,101.2911995,49.40339408,10.24138033,54.41487606
,5.75,93.29465609,59.17978728,10.60184901,53.52179118
,6,86.90231319,67.58111769,10.55242992,52.67760374
,6.25,80.73800586,79.10372907,10.1687052,51.1033126
,6.5,72.14036632,89.75363317,10.56987195,50.11228957
,6.75,64.84341094,98.21928328,11.0175508,49.39854685
,7,57.72988318,99.02663643,6.828555891,50.35729948
,7.25,48.8344993,97.1644601,8.002986108,52.19437787
,7.5,42.35874336,90.13719983,12.27047016,54.79211221
,7.75,38.36704512,83.06634038,14.0902556,57.00208603
,8,36.73857286,72.92169246,12.47686755,59.5170078
,8.25,37.61302156,65.69014278,16.953656,60.98410704
,8.5,36.96241903,63.25994564,18.04669007,61.62824726
,8.75,39.40609444,62.08195594,20.72694913,61.49903468
,9,41.66639535,61.92786318,21.48277055,61.17162937
,9.25,42.10595598,57.22454628,26.23572453,62.1464812
,9.5,38.0247769,56.45316294,30.71832699,62.97088838
,9.75,38.82198872,51.4287149,31.9450833,63.95987849
,10,39.8262889,50.17259638,36.09338014,64.07832791
,10.25,44.32692631,44.4965429,45.25044742,64.61957114
,10.5,45.57582135,45.47962119,46.75336926,64.2012861
,10.75,47.70775646,48.01060884,50.45108024,63.29773478
,11,51.15914326,54.4,54.11100015,61.32564819
,11.25,52.78102457,59.91259455,55.58775894,59.84112617
,11.5,49.36288694,64.50480255,54.28251347,59.36753752
,11.75,50.49523115,62.68568727,55.65752707,59.59061029
,12,52.21796543,59.66156793,56.78253819,59.98699932
,12.25,56.60364535,57.26179796,59.38721511,59.81857275
,12.5,64.59855938,53.21068166,58.3784842,59.43963457
,12.75,70.79770185,52.92246796,60.19536263,58.51181927
,13,77.1166629,50.47472238,62.34073268,58.04472896
,13.25,82.42244104,56.02623996,58.83488407,55.96213389
,13.5,83.3735954,55.77987424,55.18659218,55.86469713
,13.75,81.17756035,59.71432257,53.68657735,55.34174088
,14,82.44215867,57.73237638,50.45980126,55.57983764
,14.25,84.64100886,56.50910988,48.17780195,55.49985861
,14.5,89.20981106,48.09099488,51.04120235,56.63954248
,14.75,89.73395679,42.25965817,51.24178573,57.85153176
,15,93.62463343,37.19133503,49.9510753,58.35531753
,15.25,94.15155553,37.06736607,46.68941514,58.29855865
,15.5,92.52414311,38.5070299,45.33765759,58.23901935
,15.75,90.19935839,41.50394134,42.5905374,57.94500458
,16,90.25178962,44.13042308,43.92485292,57.35295298
,16.25,86.4882823,41.83885376,46.10220003,58.46435177
,16.5,83.03349633,38.93947917,50.54410441,59.66142299
,16.75,76.1900467,33.56317076,57.44533544,61.95111014
,17,67.18055267,33.62096322,65.43669353,63.37978641
,17.25,56.37064729,32.19736826,75.18969694,65.42572571
,17.5,48.18130994,36.85594593,85.28281999,65.7007802
,17.75,39.6627949,40.94381094,97.77131557,66.15532816
,18,35.63354369,50.06992972,108.7510753,64.77198196
,18.25,32.40228122,55.8673159,118.8674544,64.00067592
,18.5,30.59814848,62.33135015,130.1466357,62.8528851
,18.75,32.34554793,64.53087424,141.2048846,62.08451805
,19,30.18716719,67.42938367,150.3532308,61.78574577
,19.25,27.44826756,68.94095284,156.6585257,61.88806545
,19.5,26.46255636,71.22064348,160.0277451,61.53918132
,19.75,28.62154273,73.96949305,159.966698,60.58288804
,20,26.88578664,76.88441762,158.1934246,60.212848
,20.25,29.75338902,81.80360344,153.4172146,58.66087922
,20.5,32.80752715,84.96372821,149.7572947,57.46996716
,20.75,33.51472245,86.85817958,148.6875167,56.93582672
,21,32.64645593,85.57773223,140.7833688,57.35929322
,21.25,33.62191192,79.41190118,136.9693776,58.57340494
,21.5,33.66121343,74.30775588,128.0332427,59.70137121
,21.75,34.7514858,67.50765376,118.3703565,61.03806144
,22,39.3707604,63.06235747,106.9312899,61.28682112
,22.25,45.39342279,58.90125625,102.7015969,61.2478843
,22.5,56.38091056,56.85913543,94.83524003,59.94369088
,22.75,68.70333251,55.53956653,91.111366,58.2653409
,23,82.84220756,53.52026151,86.32643496,56.45185534
,23.25,93.56770049,48.26325494,82.4775597,55.90400016
,23.5,104.8066647,43.04981304,78.61996342,55.26430853
,23.75,117.9155804,39.51430515,73.46293568,53.95255044
2,0,133.0767253,41.15200062,70.53558115,51.16283493
,0.25,143.7866266,38.48936947,68.20125575,50.04094652
,0.5,157.5984755,36.99441936,63.73609532,48.16326184
,0.75,167.4546823,29.91778269,63.06748406,48.15885468
,1,173.3108873,28.19573332,59.02383942,47.60453952
,1.25,174.0107511,25.31755095,55.74764424,48.13215739
,1.5,174.4217305,31.02419931,51.85516389,46.79825662
,1.75,172.5956839,33.21727003,49.69816582,46.60307502
,2,165.7062587,36.90045063,45.34928561,46.88689847
,2.25,169.9853267,35.84277124,42.95682009,46.43728745
,2.5,173.7713048,34.27707081,38.24165719,46.17946439
,2.75,171.2844389,30.71876042,32.68055569,47.36809858
,3,166.8472515,28.46776835,29.66017699,48.57826901
,3.25,170.822582,27.49599356,25.96828002,48.15816609
,3.5,169.0961423,29.55104937,22.34615118,47.97771737
,3.75,159.5080386,33.36505191,20.72985613,48.66425784
,4,154.8381972,38.30013265,21.60777179,48.31474787
,4.25,148.0855314,44.56797727,20.54090078,48.00232003
,4.5,142.2968342,50.4791028,18.65716122,47.61492813
,4.75,135.0620655,57.81641004,18.04959707,47.14197841
,5,132.0280887,61.24370915,17.83157166,46.86579267
,5.25,122.0018059,65.76250059,19.32867949,47.46582204
,5.5,117.0122092,70.0544575,21.15718594,47.31038931
,5.75,113.802267,76.16868414,20.90136946,46.46526302
,6,105.9831355,82.55161032,21.14555792,46.29789603
,6.25,98.08323436,85.53418789,19.66007811,46.89908519
,6.5,89.89150006,86.89641529,17.56412716,47.90704548
,6.75,80.76890934,85.50678372,17.12807633,49.67546701
,7,72.59146662,82.08179885,20.66880902,51.7449656
,7.25,68.17127961,71.60279962,23.71535077,54.78086201
,7.5,60.93237293,63.76894348,29.8258763,57.679944
,7.75,58.85287467,52.43377745,33.66893756,60.53158951
,8,57.01739579,49.23089042,40.93935828,61.5370188
,8.25,52.44047816,45.83684576,42.57600237,63.02355777
,8.5,49.96376791,47.35958877,43.23589262,63.08144408
,8.75,50.18644873,47.23540297,45.17195827,63.07341199
,9,49.66765923,54.99641849,44.73009344,61.43174819
,9.25,50.29260818,55.00407621,42.08181144,61.33005464
,9.5,48.35895621,54.3933802,42.24460375,61.77514919
,9.75,47.28479054,45.59895271,41.49168933,63.90133291
,10,47.16510262,48.89443322,40.63412271,63.18815398
,10.25,47.59678408,51.05843014,43.28240471,62.63819674
,10.5,46.32898446,56.78323215,40.28237504,61.56886645
,10.75,46.81689442,58.51193187,41.03238246,61.10664537
,11,46.45891957,61.12840566,46.31150442,60.58248272
,11.25,47.59340826,65.51557238,44.53532407,59.42603859
,11.5,50.11412899,66.22139963,46.07022297,58.86587278
,11.75,54.27615163,69.35702485,49.09641568,57.50314355
,12,64.12712732,63.84258973,51.43364809,57.15241747
,12.25,71.77615027,61.87285197,50.73015277,56.3662933
,12.5,80.76183318,56.05565823,51.24178573,56.22129375
,12.75,85.11984191,56.10300077,50.46852227,55.51349179
,13,93.91653488,54.76766969,52.23888861,54.40276116
,13.25,95.55557882,59.03213687,50.76794384,53.19285475
,13.5,98.95717003,59.56269252,50.13421664,52.5306989
,13.75,103.2638473,59.38702209,51.25050675,51.88066842
,14,106.7850586,54.37140542,48.16035991,52.43185608
,14.25,111.6544581,50.59786311,44.78532654,52.49131713
,14.5,114.233887,44.99056082,43.75915361,53.32467567
,14.75,115.443036,41.32592309,44.16032036,53.94557577
,15,114.5214555,39.68570956,38.31142532,54.45752056
,15.25,113.0841016,38.7875887,41.54401542,54.88707959
,15.5,104.6557368,41.90308431,48.95106541,55.54328561
,15.75,99.4249019,43.86343473,52.07609631,55.94458576
,16,96.37297686,44.86525784,55.27380234,56.21026641
,16.25,94.39213175,41.31105588,70.43964997,57.31702428
,16.5,92.11711161,37.36438557,79.08217729,58.55806535
,16.75,89.22769482,32.3240795,84.7014189,60.14044005
,17,82.25312587,31.85665722,96.99805211,61.3602427
,17.25,72.1984509,31.45505204,111.1667969,63.05823629
,17.5,58.41606775,38.78741852,124.1204133,63.63400282
,17.75,47.71556857,45.47155899,138.7397439,63.86071814
,18,40.28012593,55.08136543,155.5131656,62.91487642
,18.25,34.91288734,59.61843197,169.3010926,62.76539759
,18.5,29.39454694,64.17383884,185.7024176,62.63601941
,18.75,31.03891754,67.0860205,202.1444406,61.72576864
,19,33.61612515,69.80361011,216.4207445,60.70950662
,19.25,32.58947514,71.16948621,229.4470361,60.5702426
,19.5,31.67937953,71.91967486,240.8890097,60.54914931
,19.75,34.67484915,76.09372888,242.8134474,59.14230661
,20,34.15111753,82.43864321,243.8134573,57.8161227
,20.25,32.87119846,86.81856586,242.7465862,57.04759361
,20.5,34.28083686,88.41240374,235.0430217,56.46786527
,20.75,38.01924072,87.47777294,223.4324418,56.07741639
,21,38.29886414,85.79193486,215.0021259,56.40730732
,21.25,39.11375424,80.80888459,200.8682652,57.38426941
,21.5,39.52446971,73.73947996,186.3477728,58.88953374
,21.75,43.63233199,65.85022101,172.9988036,59.98544444
,22,48.64614598,61.84612794,161.9928808,60.07303266
,22.25,63.95231085,57.20870243,150.954981,58.65458528
,22.5,75.67892177,60.48724758,139.9287092,56.04976194
,22.75,88.70336642,54.90716464,126.3820636,55.20586923
,23,99.83013338,54.65684551,116.1930093,53.48121299
,23.25,109.1777608,45.14536734,107.3469916,54.09925441
,23.5,112.1547152,42.09945931,99.23644633,54.29981017
,23.75,118.9435145,35.76114242,89.96019182,54.62211714
3,0,125.9689807,41.54913258,82.88744747,52.21182252
,0.25,124.6222704,39.83245544,80.73917042,52.80877997
,0.5,133.1891025,39.04910991,76.10540367,51.61216362
,0.75,138.7810835,30.72389476,69.65475849,52.56749447
,1,142.7623851,31.35025136,67.09950067,51.79129586
,1.25,145.5837704,30.09373447,65.61402086,51.61910019
,1.5,146.2431795,32.71166145,58.65464973,50.93183318
,1.75,142.5824262,37.72447276,53.70401938,50.40359564
,2,142.6959914,41.70997118,43.95973699,49.4997589
,2.25,145.3682397,44.05816749,38.91026845,48.55037775
,2.5,153.0399428,40.35692968,34.76778563,48.14540256
,2.75,159.6589053,35.49072319,27.8084145,48.16774778
,3,160.5362638,30.47254148,23.8926781,49.14252191
,3.25,156.0696433,31.20305688,28.57586394,49.69484444
,3.5,152.8813386,32.31382099,24.85198991,49.95813671
,3.75,145.1632387,40.16062684,21.65719088,49.44929807
,4,133.2441289,45.57439637,25.17466752,50.15329573
,4.25,128.345027,54.24003464,24.37233401,49.01145464
,4.5,122.5571736,57.59132134,18.44204281,49.19278082
,4.75,114.7814483,61.8954212,19.98566273,49.48043023
,5,110.1838419,65.87878611,18.41878677,49.33085505
,5.25,105.3436548,71.21861085,15.84317991,48.91865727
,5.5,98.57805632,77.69213739,15.66294557,48.56259157
,5.75,90.78796039,81.15068048,16.39841796,49.04044179
,6,84.39181234,87.20843609,16.14841548,48.71765756
,6.25,74.38935974,91.70839828,18.37808869,49.31805838
,6.5,68.30651033,94.21702881,20.20078113,49.73384083
,6.75,60.32744945,89.0130315,23.72697879,52.16693442
,7,51.10176867,83.53979149,27.83748455,54.85931891
,7.25,45.45168527,71.85439939,30.09332081,58.36008605
,7.5,43.64587161,64.41784423,33.02648935,60.30158405
,7.75,41.67005696,55.73961319,38.142819,62.54621018
,8,43.62276885,52.57949744,37.39571859,62.93602422
,8.25,50.5915027,47.83254745,39.12247985,62.87590458
,8.5,47.09825928,52.59384694,41.83471597,62.37675697
,8.75,46.8680428,54.9960013,45.34056459,61.87977953
,9,47.94562261,59.14418795,42.62832847,60.7855475
,9.25,48.8919962,57.47005985,44.96846789,61.0061562
,9.5,51.22270742,55.54756734,45.79405745,61.06046296
,9.75,55.7242562,49.65025126,45.65742819,61.65072984
,10,56.83213341,47.82465526,46.48883176,61.87915749
,10.25,54.81166683,52.67972336,48.4161764,61.12352811
,10.5,51.66266292,56.9884692,51.42202007,60.66986967
,10.75,53.04708669,64.30899479,51.0150393,58.8215784
,11,56.21685121,65.03797565,50.97143422,58.15242033
,11.25,54.86548877,71.77510788,49.65456074,56.87149782
,11.5,60.84490572,70.74873668,52.73889356,56.1428736
,11.75,66.80121581,72.43018671,52.22144658,54.81620842
,12,74.72418817,62.20478085,58.24185495,55.82084526
,12.25,86.03491708,57.37794416,57.99766649,55.08375901
,12.5,96.96061308,51.1496612,58.9046522,54.71971053
,12.75,103.7023237,56.42022576,53.49762199,52.46980026
