Day,Hour,HVAC (kW),EWH (kW),EV Charger (kW),Inflexible Load (kW)
1,0,143.1445943,84.61431883,52.1249203,74.29368295
,0.25,143.3870429,81.43856306,49.82970408,74.96061468
,0.5,166.6244834,65.12936173,44.5092809,74.86689116
,0.75,161.0029718,68.78596232,47.67779891,74.95375511
,1,180.9931906,65.48598324,43.47699341,72.48864879
,1.25,165.8859044,73.03507607,36.29464605,73.22823839
,1.5,196.7434707,65.77332396,31.26308424,69.90475048
,1.75,193.5452795,67.23335116,35.78522001,70.09201057
,2,201.9862799,70.33602858,28.23003996,68.05196664
,2.25,203.6330321,67.10655934,26.88761838,68.50614612
,2.5,206.6522498,54.9388716,23.83666022,70.7270019
,2.75,190.0970756,65.40217824,26.5976374,71.05065051
,3,206.0847441,73.8153935,19.53732836,66.62302017
,3.25,182.0490181,75.02852535,19.77804616,70.19915148
,3.5,174.064927,70.16099201,19.81163469,72.55828013
,3.75,172.5578015,70.7863918,15.54477175,72.66044247
,4,179.2059987,74.45977418,13.25291438,70.78042373
,4.25,176.4772983,68.32042569,11.89929661,72.58131545
,4.5,160.9274313,69.18945177,8.337792798,74.87617726
,4.75,162.8795806,78.80853023,8.279572679,72.42626039
,5,155.1862386,80.46193724,12.89687596,73.28977132
,5.25,140.2418894,86.99323143,12.73677063,74.22946849
,5.5,133.439748,95.19297074,7.585409723,73.49564682
,5.75,124.8749988,111.8922483,6.002270336,71.15505612
,6,98.70453314,120.7632095,9.690290945,73.37100591
,6.25,95.69226281,120.9322522,8.981572959,73.81540414
,6.5,79.14444983,126.2006786,10.59830088,75.29229278
,6.75,68.81221037,135.8579562,9.618635414,74.7993894
,7,52.05323066,139.7191098,2.239235343,76.62279202
,7.25,49.23472255,145.9964039,8.089237675,75.67879908
,7.5,41.36916988,153.3689092,13.23835935,75.298953
,7.75,41.80476989,141.861416,5.099858493,77.78647771
,8,43.58894287,135.4139009,12.35386139,78.93379117
,8.25,43.92476014,128.3572115,9.546979883,80.4482136
,8.5,52.08441174,112.0673269,17.94075356,82.7626437
,8.75,33.46275117,102.3289099,19.56979728,87.90620207
,9,39.40569881,100.7522032,17.95866745,87.30570969
,9.25,52.97714914,92.80557631,18.01464833,86.90019474
,9.5,54.61774172,99.07392854,21.44963535,85.24473276
,9.75,64.64979571,89.95616188,15.28390083,85.66577449
,10,35.60967269,95.32382387,20.40615168,89.1193804
,10.25,39.10098478,95.62321876,28.73722677,88.49423827
,10.5,54.30614734,88.59097674,28.09568584,87.62413271
,10.75,31.35736833,88.308369,31.80050072,91.35873907
,11,44.9896696,104.0243247,36.5767897,85.68513628
,11.25,55.12896973,94.97575667,35.85463631,86.07364114
,11.5,60.61210983,113.2742619,38.36705836,81.13000423
,11.75,80.81624414,100.0518724,35.79977504,80.83565152
,12,93.38496852,107.6923511,45.16649648,77.12677146
,12.25,95.05172842,99.62486785,43.39526132,78.65286393
,12.5,99.51006522,100.9055116,47.03625799,77.65494254
,12.75,110.6114658,80.44676686,48.26895705,80.42510617
,13,123.7757838,94.10357453,44.68058241,75.28396914
,13.25,149.1195002,84.56528171,43.09072532,73.34859514
,13.5,149.683489,81.29146097,44.92913753,73.98587266
,13.75,135.0681782,87.8893627,38.30547939,74.858122
,14,155.9724398,82.31221669,38.3569818,72.75280592
,14.25,157.6167132,79.3298117,38.49133592,73.15247884
,14.5,156.29363,71.80440077,37.42434028,75.03648569
,14.75,168.3135166,63.31194426,36.35398579,75.0005164
,15,166.7684601,61.82225054,31.28995506,75.57876849
,15.25,158.483613,65.66649614,34.82234881,76.05006722
,15.5,156.4866842,64.46342995,30.37970589,76.63692388
,15.75,157.8321973,69.23396085,33.3646066,75.36152381
,16,145.230907,60.16949005,29.74600229,79.39205708
,16.25,142.1512418,56.85177351,25.43435464,80.62207387
,16.5,148.3834038,58.74164841,31.36384983,79.20495575
,16.75,141.3933425,62.92811025,30.83203143,79.39304071
,17,126.7621231,62.74802379,39.62998709,81.77405501
,17.25,97.27190454,72.52141813,42.50740451,84.32062458
,17.5,91.35662891,76.567088,44.73992215,84.36803093
,17.75,75.07522485,81.50792763,50.60671874,85.87509122
,18,70.74991149,88.82209138,61.44909627,84.94177163
,18.25,52.272449,89.74555677,67.65625664,87.6929511
,18.5,48.48457817,98.31545094,73.79623995,86.39458951
,18.75,40.13147781,101.9254363,77.6958683,86.92886661
,19,44.4246665,104.643892,86.45015887,85.63785514
,19.25,38.94070949,117.8198061,94.59089896,83.58730734
