Day,Hour,HVAC (kW),EWH (kW),EV Charger (kW),Inflexible Load (kW)
1,0,51.0930804,43.53076967,36.39410612,68.55160277
,0.25,69.16896361,60.60436001,47.21968589,61.86533026
,0.5,87.52649649,64.08526646,57.88093346,58.15459024
,0.75,100.7906694,63.63910512,52.85080286,56.13146953
,1,108.2576388,61.28183708,50.45937798,55.46059177
,1.25,113.3326437,55.61755095,49.05394634,55.90732124
,1.5,116.8040162,57.18902073,45.58575424,55.00268614
,1.75,122.8111017,60.2953894,42.34293202,53.3512483
,2,120.6253715,68.11304237,39.22531529,51.96370892
,2.25,115.9477577,66.8489422,36.68677396,52.99303828
,2.5,113.7965891,65.61791657,32.41570164,53.61078651
,2.75,115.2606406,57.88244843,29.77230071,55.09553119
,3,110.4830398,61.30441814,26.54356411,55.0995096
,3.25,109.6990889,62.80485304,24.00032757,54.89151177
,3.5,111.2590009,67.98667601,20.87332043,53.49040963
,3.75,109.2178089,67.89275415,19.11731342,53.83787187
,4,105.8997991,64.39291316,16.16559397,55.14649588
,4.25,107.2469664,61.44144483,15.40810075,55.58683097
,4.5,98.94821472,64.04379459,14.70068972,56.33633129
,4.75,94.39325013,77.37847854,13.14031629,54.10186253
,5,87.82221051,88.27259986,12.30769977,52.73231302
,5.25,74.8481455,92.27335048,12.73339844,53.91910772
,5.5,69.39713842,93.02142399,11.22310721,54.6250303
,5.75,64.31729021,97.49245048,10.93826471,54.44424457
,6,55.92650573,108.6983027,11.07599076,53.2965807
,6.25,45.08580696,117.3890151,11.1135524,53.09982308
,6.5,40.24334222,126.1366517,10.77706265,51.9306982
,6.75,30.45813345,127.4702328,12.78348064,53.19998025
,7,19.93455047,127.1085508,12.81321694,54.9641273
,7.25,19.68071778,115.6219375,13.90876499,57.55732126
,7.5,19.27871497,109.214501,14.21082324,59.0455165
,7.75,18.07757182,103.175635,15.28133019,60.57966962
,8,19.68912598,97.8879487,16.34244672,61.49686235
,8.25,25.04786563,91.68641917,18.39268664,62.01758168
,8.5,21.95683112,78.86356736,19.77620732,65.36166983
,8.75,24.5915127,70.25183314,23.3602145,66.85383949
,9,24.81222829,61.47938211,26.4590504,68.76795856
