Day,Hour,HVAC (kW),EWH (kW),EV Charger (kW),Inflexible Load (kW)
1,0,53.12254098,52.50688525,59.81885137,58.23219672
,0.25,67.48191601,66.90186595,76.9372364,52.73581212
,0.5,88.03603079,59.1609462,93.70092108,51.16735814
,0.75,97.78919694,50.10697065,88.23853555,51.61884612
,1,106.2565157,44.84419646,81.9057699,51.4335805
,1.25,110.6979394,39.73364274,73.58941071,51.85863132
,1.5,115.4803002,35.90598124,67.30302895,51.94404503
,1.75,120.7612358,32.6457108,60.08896934,51.82359987
,2,122.5700866,30.49270991,54.29643962,52.01262839
,2.25,122.8069114,32.7692527,47.44253729,51.46883801
,2.5,121.4511125,33.90195247,42.75776409,51.43405479
,2.75,122.9930249,37.6625479,38.05934856,50.35166092
,3,120.1140143,38.022561,33.7374611,50.73229972
,3.25,118.3239243,42.55816295,29.12635643,50.01080256
,3.5,114.0707186,46.36328339,25.26285098,49.84573315
,3.75,111.4897995,51.25841926,21.87136985,49.17087224
,4,105.3813216,51.56779491,19.41575198,50.07947857
,4.25,102.300236,51.06287162,15.86329146,50.68465743
,4.5,98.13225821,51.20393304,14.45813234,51.3201869
,4.75,93.24000806,54.47573907,14.81828963,51.37587892
,5,89.82181625,54.60326875,12.87289458,51.89444968
,5.25,83.43489285,57.22457059,11.23854446,52.3338459
,5.5,75.72895004,59.47477364,11.82516429,53.06675163
,5.75,67.78571468,67.52023283,12.1907785,52.54978947
,6,62.6928935,74.20608492,12.1225669,51.87889595
,6.25,54.49558845,83.22390267,12.66280283,51.18650525
,6.5,46.73759212,90.97753191,12.56730658,50.70475595
,6.75,37.40777132,97.86425357,13.32581965,50.66714469
,7,31.21753895,99.9727527,13.0857148,51.1890265
,7.25,25.66363271,99.4268952,13.95882337,52.19895317
,7.5,22.00039352,95.17557552,15.49494877,53.72980914
,7.75,20.83066688,91.87544829,16.68183075,54.65032701
,8,21.5740359,84.02030341,16.56177832,56.27697572
,8.25,21.88725621,77.62313517,17.05835882,57.64845341
,8.5,21.22259038,70.73098264,18.84004601,59.2863894
,8.75,22.02698287,68.29857294,20.89730809,59.69822209
