Day,Hour,HVAC (kW),EWH (kW),EV Charger (kW),Inflexible Load (kW)
1,0,61.07676614,55.06030185,47.09760663,69.19209478
,0.25,80.36197539,72.51126261,60.09507037,62.22847002
,0.5,99.12341799,71.62449673,72.37813012,59.42369829
,0.75,109.8559572,62.25209253,68.51738738,59.78924851
,1,117.9282191,59.48149394,62.75156737,59.11337518
,1.25,126.7389326,55.44867514,58.38124113,58.59984297
,1.5,126.4848422,58.02414881,53.82583615,58.06816996
,1.75,132.8618108,55.02819556,50.29206587,57.71362237
,2,135.0295696,56.44844316,45.58613017,57.05117038
,2.25,138.6469087,57.14883263,41.9956024,56.31675402
,2.5,136.8000807,63.36608291,39.072592,55.23063534
,2.75,137.4452382,62.83077466,37.11569267,55.24636752
,3,131.298433,68.34997692,33.45360113,55.00336697
,3.25,129.2954366,68.20859108,30.05308755,55.35526546
,3.5,124.8512279,74.18312799,26.86726532,54.73866398
,3.75,127.3957838,72.94000605,24.80302032,54.60778435
,4,119.5013072,75.11929412,21.47283666,55.38661438
,4.25,123.1950527,68.66714101,19.25435937,56.2294269
,4.5,116.5390364,66.18675958,17.53436085,57.84558537
,4.75,117.7048973,65.60754636,16.49421827,57.78776168
,5,112.1024079,69.35504814,14.04254175,57.85138182
,5.25,111.9701891,71.972335,13.24176769,57.29091753
,5.5,99.22229654,81.8546325,12.54340387,57.13451422
,5.75,90.79798373,90.45641528,11.57359121,56.57089698
,6,80.12828333,103.1082634,10.9282833,55.46652725
,6.25,74.85117372,109.3012241,11.20219985,54.93465129
,6.5,62.30887199,117.2303833,10.93198488,55.17938419
,6.75,55.8813236,122.4679366,10.91841244,55.04389119
,7,48.57324641,127.4323804,11.73646051,55.10997383
,7.25,40.54311844,129.2891476,12.41384874,55.98217936
,7.5,35.56624384,128.3467908,12.16584322,56.98789192
,7.75,38.84208982,121.7711079,13.65387637,57.92501942
,8,38.28530634,115.8048098,14.09189608,59.33994882
,8.25,37.66137835,107.1607724,15.24185205,61.3606745
,8.5,41.61282076,99.98733655,16.01794895,62.32254056
,8.75,40.53150753,98.0869393,19.04336959,62.91786117
,9,37.04013442,97.87274813,21.6406414,63.52407891
,9.25,41.35434213,97.70368684,25.41254634,62.87137485
,9.5,44.0741456,95.9927414,30.2381663,62.81641639
,9.75,44.2840565,96.96286996,34.2778185,62.56724652
,10,48.57968877,98.29139022,37.60923601,61.58471864
,10.25,52.1630436,96.21438847,41.42926143,61.47293781
,10.5,54.40592105,92.06340073,46.52016093,62.03651914
,10.75,51.50321825,91.44119117,49.92067451,62.63922037
,11,53.07235791,95.79237617,54.2330094,61.42122803
