Day,Hour,HVAC (kW),EWH (kW),EV Charger (kW),Inflexible Load (kW)
1,0,82.25724297,58.74511862,36.05783642,69.78437032
,0.25,104.9784828,78.57362248,46.37808237,61.74263775
,0.5,129.0172395,73.61860168,55.46147441,58.99755241
,0.75,134.991447,67.68144669,49.58444886,59.361047
,1,139.9233192,64.7733808,43.35291104,59.21818431
,1.25,149.7381462,61.14607501,38.96483699,58.45387994
,1.5,151.0781439,58.85319993,34.32466534,58.74900811
,1.75,156.5315904,50.89254902,30.18868891,59.6454902
,2,163.683784,45.81307007,25.57215141,59.62991233
,2.25,165.279299,43.88928688,23.90200474,59.8021373
,2.5,162.0461456,51.955643,20.02600397,58.52691826
,2.75,159.6578552,52.52682129,17.2923205,58.78211622
,3,154.0731632,58.09072944,13.66053929,58.4392429
,3.25,146.7138313,59.67432597,11.98251457,59.26482566
,3.5,140.6880747,67.08393807,10.58022161,58.58236625
,3.75,140.907846,67.1168322,8.665855377,58.53989304
,4,135.1072417,69.41166974,7.728367386,58.95802583
,4.25,135.5031788,64.79067344,8.185294306,59.92156396
,4.5,135.4522228,68.48172859,8.437391917,59.10948244
,4.75,127.5709834,67.40027701,9.020367642,60.61080332
,5,117.0607318,79.17358229,9.240953052,59.67615351
,5.25,116.3182904,85.15527234,7.972586947,58.46567968
,5.5,109.8242897,97.11001923,8.004099148,56.84810938
,5.75,102.7169372,102.1068037,6.775123295,56.87488922
,6,99.33914562,105.2276128,5.640684045,56.72182275
,6.25,92.94523927,111.3690756,5.412220585,56.38007825
,6.5,77.21733281,120.2451258,6.44424518,56.92408767
,6.75,67.38471531,123.3524139,5.947928009,57.80679801
,7,54.51782231,125.1480863,6.956318453,59.46646259
,7.25,44.21678352,123.0926273,7.318708768,61.57139747
,7.5,35.58067288,124.5972635,8.264074809,62.61881155
,7.75,34.79037164,122.683772,8.334977263,63.1704801
,8,30.04146418,122.695974,8.208928457,63.92759374
,8.25,28.78467757,116.9388205,9.65848972,65.40804703
,8.5,29.10048536,109.9705004,10.96624608,66.90603337
,8.75,28.90042404,101.8938441,12.36853904,68.73285568
