Day,Hour,HVAC (kW),EWH (kW),EV Charger (kW),Inflexible Load (kW)
1,0,63.10556429,39.76106442,58.37437161,65.06731762
,0.25,80.74408751,56.0895845,74.08194641,58.61659389
,0.5,98.09164733,53.66484919,88.54392601,56.37981439
,0.75,104.2734562,52.80215827,79.71465176,55.58243405
,1,110.1248561,47.68112896,72.12753185,55.78421658
,1.25,119.1866217,44.70823398,63.7799795,54.99497742
,1.5,119.2413073,43.21840804,58.89394309,55.31730015
,1.75,125.3677388,41.33881893,51.92273903,54.75475758
,2,125.6290411,40.91019735,48.58165357,54.80819845
,2.25,125.0025105,42.07170114,43.78163893,54.65033139
,2.5,123.2730626,42.99854163,40.50593001,54.72107851
,2.75,125.9844787,43.1355839,33.50031724,54.2567981
,3,123.2089267,44.98160214,31.22246083,54.29066015
,3.25,121.1457397,47.91763032,26.22287569,53.96831935
,3.5,118.0173216,50.50469933,24.25813851,53.89396202
,3.75,115.7331362,46.0777615,20.53167553,55.24319564
,4,112.44438,45.62855485,18.42242179,55.86922035
,4.25,110.967293,43.9325261,15.6249939,56.48244955
,4.5,105.0235259,46.99415587,14.98499195,56.75309011
,4.75,101.2346791,46.25522073,11.80562741,57.52351341
,5,99.22903238,45.53390714,9.052930841,58.00470879
,5.25,97.75536808,44.69812813,9.655083215,58.42622375
,5.5,88.81251687,45.62295145,7.580238177,59.65156364
,5.75,85.98108464,50.28326994,4.958294695,59.06896647
,6,78.28947368,56.97984323,5.267973059,58.81149683
,6.25,71.24328815,65.92364543,6.878300552,57.95137491
,6.5,59.00759918,73.42365856,5.147542584,58.24241556
,6.75,52.53226224,80.2555428,7.012494509,57.76027298
,7,43.01208823,86.57241859,8.519595881,57.87975064
,7.25,35.00975882,92.33500627,8.918736883,57.87954831
,7.5,30.36858974,93.66923077,9.066694324,58.32564103
,7.75,31.01517423,91.99127709,12.65896335,58.5950661
,8,29.46892923,86.15512093,12.97896432,60.13938889
,8.25,26.1488729,82.40305686,16.93940651,61.50438992
,8.5,27.05577318,76.94661893,20.46629899,62.57182764
,8.75,28.13640841,73.00654807,23.41856606,63.27449731
,9,28.59946318,67.80811304,25.34545366,64.35561633
,9.25,31.36972481,62.72790967,30.25213529,65.04130855
,9.5,33.8931118,60.07181088,31.97945239,65.22781081
,9.75,37.72371858,58.21851172,35.09344038,65.02675798
,10,37.30710701,59.66632849,39.34291571,64.77167877
,10.25,37.4471991,61.32133245,43.18980917,64.38148538
,10.5,35.47099065,62.82226649,47.77304895,64.36413783
,10.75,32.9355883,66.04501515,52.75198887,64.05363584
,11,32.49641805,67.61033765,57.91329494,63.77605363
,11.25,35.29311906,71.13381621,62.02857631,62.54558624
,11.5,44.21259037,69.37389619,66.65654742,61.50956417
,11.75,50.86134952,68.21951455,69.63978232,60.70229195
,12,60.66607685,65.35692619,72.4028015,59.76966633
,12.25,71.60653202,61.15533806,72.2273171,58.95287975
,12.5,79.13505524,57.68283089,73.24237396,58.5199843
,12.75,82.09590426,53.01398955,71.11247499,59.08376875
,13,89.77011172,50.85937237,68.43891844,58.33469938
,13.25,95.37009732,47.38143097,64.78127288,58.21157755
,13.5,97.51915679,46.47656798,63.4393333,58.0688087
,13.75,103.6282727,42.93050037,59.22426668,57.87936518
,14,105.1997813,41.40002697,55.74554639,57.968029
,14.25,111.1517402,38.1227487,52.20489043,57.74399964
,14.5,114.4630791,38.34750172,49.1184294,57.1642403
,14.75,114.2617077,39.01776437,44.53174874,57.04751247
,15,117.5150426,41.26797518,39.48055054,56.02693203
,15.25,119.6816507,40.98975184,35.43408658,55.74210214
,15.5,116.0015408,41.1887099,32.40267949,56.28670682
,15.75,115.6491421,39.17427256,29.95277954,56.79074336
,16,118.7080224,39.52736484,27.92954756,56.22285757
,16.25,111.6976626,40.8347561,27.97083801,57.05398374
,16.5,105.0709892,43.2707763,29.31621846,57.57291367
,16.75,98.34350133,43.2694695,28.55578603,58.64960212
,17,87.72043209,45.37475764,28.77600176,59.88145139
,17.25,73.35361146,47.2802407,31.41859046,61.75670201
,17.5,61.69870328,52.01014366,35.8435502,62.57039777
,17.75,51.86908543,56.64244409,41.40399727,63.11373653
,18,42.5101354,64.25970243,49.18036507,62.91844446
,18.25,34.2991896,70.64003052,58.79415784,62.8143451
,18.5,28.70031414,77.12915758,68.35633755,62.26813694
,18.75,25.22630715,80.56120431,81.92024989,62.06130101
,19,23.28072877,84.4965358,92.69017522,61.49807544
,19.25,24.28783769,86.76336534,106.9594661,60.83319812
,19.5,26.2775493,89.03370595,120.1380009,60.01032412
,19.75,28.31240082,90.15123073,131.606423,59.43640904
,20,29.54417373,92.61886424,141.4920445,58.69096237
,20.25,30.80038318,94.53729329,153.8963834,58.06365129
,20.5,29.87851928,95.14093968,162.2714627,58.07700587
,20.75,29.63540557,93.72491478,169.6693348,58.43057627
,21,27.08540167,91.46128071,175.9420421,59.34160668
,21.25,26.63873092,90.46064053,177.9549514,59.63543849
,21.5,30.20698553,88.06476946,176.3411831,59.59693355
,21.75,32.42008772,86.40110757,173.9153692,59.61253984
,22,35.76267922,83.37602171,168.7471814,59.7499665
,22.25,36.93005633,78.51972237,162.5501733,60.6423638
,22.5,40.8357413,73.43905377,155.1454195,61.14649166
,22.75,41.16584301,69.70026741,147.0456098,61.92451681
,23,47.35662545,69.06092883,137.5453658,61.07606685
,23.25,55.59366996,63.79363337,128.4132949,60.92864984
,23.5,66.99803279,59.18447213,123.4446776,60.12820984
,23.75,77.58247678,54.22708592,117.7569183,59.53634018
2,0,84.23795293,54.09951438,113.961638,58.49981322
,0.25,97.31465489,52.30814179,109.0928059,56.80562371
,0.5,103.8952317,49.04667562,103.2708527,56.47750168
,0.75,113.1327162,43.52158367,94.71684806,56.22730238
,1,118.2798718,41.89682038,86.66865147,55.76481598
,1.25,122.6055518,41.35159461,79.91422227,55.19386846
,1.5,123.4921941,42.66032326,73.89613939,54.7611771
,1.75,126.8976264,40.57131543,67.0694519,54.68053191
,2,124.2644698,41.17126114,60.27029138,54.96851569
,2.25,120.8001559,41.05981986,55.4393089,55.54757065
,2.5,124.5301086,41.76412502,47.86595246,54.79426595
,2.75,123.5615059,40.15791568,42.39496803,55.30617779
,3,126.2060648,39.97277739,38.41388062,54.92419021
,3.25,126.2922127,41.41387275,34.74247157,54.59016314
,3.5,128.4314166,41.710664,29.09256186,54.18193691
,3.75,125.1649258,40.07516618,24.7880326,55.06801939
,4,124.5543536,41.69604632,20.8757626,54.80551535
,4.25,117.9727929,42.98990624,19.46500561,55.57104063
,4.5,112.1474154,46.3345501,16.8705891,55.75984684
,4.75,107.7540697,47.5399642,16.13768364,56.19491236
,5,104.4964541,52.16700999,17.30757968,55.68789845
,5.25,96.39767409,58.33002411,17.02542828,55.61414457
,5.5,92.26347139,62.91854828,15.01251891,55.25594496
,5.75,87.7898648,68.42344883,12.26326321,54.74841078
,6,81.75851994,74.06673209,11.68175606,54.45936301
,6.25,73.26033595,78.10684173,10.09551467,54.92127031
,6.5,66.26460551,79.70244081,10.62540876,55.68600961
,6.75,59.17944467,80.32503319,10.73551662,56.68128148
,7,51.35318723,80.85964749,15.94499488,57.81467949
,7.25,42.99761084,79.20900669,18.26070086,59.51838078
,7.5,38.71995637,73.67051357,20.86199912,61.43358174
,7.75,34.02005339,68.34476896,22.44824052,63.36906502
,8,32.21077557,64.47995223,26.40180097,64.51739763
,8.25,30.15210376,61.18433279,26.73556543,65.579145
,8.5,31.95049075,58.74421698,27.46158915,65.83365104
,8.75,30.512622,57.21160174,27.18976036,66.4042912
,9,30.67607097,55.83695563,26.34330616,66.68361628
,9.25,30.68881686,53.87163695,27.46503002,67.11831442
,9.5,33.1436537,52.57693137,27.75750403,67.01325288
,9.75,35.81112288,54.83380879,27.45814827,66.0849295
,10,38.5229159,57.80848395,28.99965835,64.99000369
,10.25,36.7685955,59.55026773,32.34418468,64.88363189
,10.5,37.01857283,60.8516129,32.62633608,64.5544477
,10.75,37.93423563,61.85210266,36.01559373,64.1856106
,11,35.19375698,65.27076665,38.16269706,63.86438407
,11.25,35.54715014,66.55394663,39.94506809,63.52269006
