Day,Hour,HVAC (kW),EWH (kW),EV Charger (kW),Inflexible Load (kW)
1,0,63.47357792,42.28809925,61.13180742,57.24687215
,0.25,80.60633081,56.6954971,78.59510655,51.30398771
,0.5,103.6246518,48.37684574,95.53717443,49.46964555
,0.75,110.501022,55.02374584,85.05919495,46.89233741
,1,113.4119044,57.37168052,79.62525651,45.90483297
,1.25,115.3468325,59.78712057,72.93543804,45.05848002
,1.5,122.7387672,54.38753748,65.52738753,45.07567781
,1.75,127.9944197,48.93879664,56.52691397,45.4456047
,2,128.0289355,47.81294796,54.83188635,45.69027078
,2.25,124.0400979,51.97431312,47.93685872,45.40373698
,2.5,123.6541673,58.5440786,45.28145225,44.00553799
,2.75,121.1096363,57.72340161,40.89408051,44.59503561
,3,121.4641375,54.84870239,36.97458564,45.17713747
,3.25,121.5632983,47.23910679,31.02352013,46.85229299
,3.5,119.41425,49.15676138,30.24372534,46.76999525
,3.75,115.2800121,54.94954311,24.75232833,46.14418848
,4,110.0427809,66.11149214,23.29944751,44.50171236
,4.25,108.7613048,69.33265415,23.96842936,43.99093475
,4.5,103.6447668,64.73406061,26.50891871,45.8314905
,4.75,102.0604986,61.14674329,20.46756117,46.88215505
,5,97.38114365,63.92888449,20.60299921,47.01259824
,5.25,90.10796766,77.59634621,18.9038674,45.13909268
,5.5,81.09795912,88.95117672,18.31696922,44.05739838
,5.75,76.96149865,98.22190261,12.23456985,42.65907075
,6,76.34741538,100.8633954,15.69850039,42.17032567
,6.25,71.14783411,103.1716547,16.41262826,42.48931217
,6.5,60.9181055,107.3705397,16.89281768,43.19298319
,6.75,55.53407983,111.8201746,14.28255722,43.06561954
,7,49.58007804,115.9025639,17.82857143,43.11106221
,7.25,41.360312,113.7749802,15.89960537,44.89902116
,7.5,36.26073032,108.153666,17.24577743,46.96413514
,7.75,34.75626154,96.16815533,17.57821626,49.86829697
,8,31.83404193,92.00820994,21.1406472,51.26028442
,8.25,28.67687694,86.2988267,21.34585635,53.03418265
,8.5,30.0165908,85.72901689,24.71539069,52.94645283
,8.75,28.35224586,80.2706383,26.29960537,54.42572104
,9,33.21552518,70.29203741,32.34917127,55.86506321
,9.25,30.66081558,63.16271861,35.10307814,57.85810981
,9.5,33.1661394,60.44434325,42.19100237,58.06134142
,9.75,32.05617941,69.06289528,50.14490923,56.32370123
,10,35.89035493,72.84476455,54.8441989,54.86981776
,10.25,30.94322058,77.10689833,57.62273086,54.71421841
,10.5,33.3746666,73.0558423,62.82273086,55.22542172
,10.75,32.17029242,71.37675278,65.95832676,55.79125259
,11,35.73348585,73.38976265,69.56179953,54.77380612
,11.25,40.18967124,80.14121481,72.06535122,52.56049375
,11.5,45.4261601,87.21560854,74.6715075,50.15056804
,11.75,57.12941176,84.81043361,79.15327545,48.81253109
,12,68.49984971,79.98616642,79.41183899,48.0653204
,12.25,75.24287926,73.74480708,80.15469613,48.37340441
,12.5,79.21718347,73.23668276,80.5035517,47.85043225
,12.75,82.10312836,75.09541265,80.07261247,46.97562999
,13,82.5066717,79.77432401,75.62778216,45.87130497
,13.25,84.82334385,78.12794953,73.07908445,45.86649842
,13.5,88.94107094,71.77574565,69.4715075,46.61926295
,13.75,93.28487648,63.62938078,69.84909234,47.73455737
,14,95.00375925,61.77338451,65.30576164,47.87197974
,14.25,98.74079016,66.39384459,64.51775848,46.24728589
,14.5,98.30141659,68.92187805,57.87719021,45.75580045
,14.75,100.4502476,65.41107609,53.37900552,46.19216569
