Day,Hour,HVAC (kW),EWH (kW),EV Charger (kW),Inflexible Load (kW)
1,0,56.66320053,55.32329529,27.09382667,68.2398223
,0.25,77.81320234,70.24039418,34.99421868,61.54091114
,0.5,101.7032078,60.56712289,43.63067204,59.8681261
,0.75,113.1324418,60.43801798,42.08071294,58.06813865
,1,117.1355156,65.11645705,38.50870019,56.38799371
,1.25,123.8567973,64.34733786,36.5729434,55.48350402
,1.5,128.0110799,57.05568522,35.65075157,56.43918605
,1.75,137.2997659,46.80056196,32.57790688,57.23191258
,2,140.4981458,47.45912737,31.43405059,56.57382392
,2.25,135.4493681,60.20161024,30.67599199,54.54996549
,2.5,133.0452391,65.44164881,26.59973491,53.77017311
,2.75,136.4703851,61.25574167,24.81119039,54.15235135
,3,137.4163874,53.15769973,25.14453312,55.80055585
,3.25,129.985174,55.31116523,22.86528103,56.51100211
,3.5,129.3482531,62.14900728,24.7722722,55.093389
,3.75,124.8228685,63.77972275,23.29338109,55.45506931
,4,119.6801656,61.81510604,21.79926112,56.71448328
,4.25,117.8351718,55.46064923,18.79917651,58.4217838
,4.5,113.6719689,61.54931502,17.491187,57.73485942
,4.75,107.5795374,71.28862607,14.81429256,56.54535711
,5,103.1981906,76.13867603,15.284695,56.16858372
,5.25,102.1316593,74.7225215,12.42336219,56.65392973
,5.5,95.50407221,70.43218588,11.0764545,58.66775158
,5.75,88.36405905,81.69474748,9.71262585,57.30736222
,6,75.8165885,100.3830826,8.983332863,55.16199415
,6.25,63.72855607,119.1072048,9.947827068,52.9351633
,6.5,54.38130581,129.214074,9.524803294,52.18475241
,6.75,46.27509954,132.6866107,9.952903353,52.71007058
,7,39.36121264,132.7821686,11.74483206,53.7950574
,7.25,32.04060121,134.2317236,11.98510956,54.6442319
,7.5,28.75791286,133.9766576,10.36577456,55.22614336
,7.75,27.48523589,129.6726598,11.63315378,56.38621564
,8,29.85654768,117.1879936,13.37601173,58.78117602
,8.25,30.9527707,104.8033491,13.56721848,61.35792355
,8.5,32.34205604,103.090657,16.55545842,61.51623614
,8.75,34.4807011,98.13104606,19.52339321,62.2761887
,9,35.20144811,90.3441008,20.9092191,63.89130146
,9.25,37.80955269,71.76898863,23.39998308,67.60180743
,9.5,41.07286127,68.09441749,25.11407541,67.89624942
,9.75,41.28198026,69.87647091,23.6013424,67.46677851
,10,38.77031513,80.83538019,25.01762599,65.43333176
,10.25,39.69236849,84.47171301,29.89932034,64.47772926
,10.5,41.62122074,80.46121839,29.8807073,65.06033393
,10.75,37.46685646,77.60060286,31.35113793,66.36072455
,11,40.86142381,76.6826089,33.8486703,66.02159243
,11.25,39.65214993,85.16053817,37.41560676,64.33109197
,11.5,39.85783286,84.35673016,36.96720156,64.47680671
,11.75,41.06677943,82.49957413,39.02986548,64.6960766
,12,45.83666177,77.81769023,40.66442934,64.97331406
,12.25,54.78173678,76.76502206,43.43438901,63.77602833
,12.5,65.88650793,78.77891609,43.65774557,61.55173293
,12.75,70.37184782,78.20571774,44.76099157,60.96145596
,13,80.61486249,72.35059093,45.90992414,60.62371291
,13.25,92.69396383,62.18617396,45.79147748,60.94981602
,13.5,95.31949168,61.11687847,43.63744042,60.76735278
,13.75,100.4585555,64.97411345,42.51896557,59.08793924
,14,105.579205,65.92920044,41.53247413,58.05639377
,14.25,113.7341465,56.51341346,39.29383231,58.84400024
,14.5,118.5143727,47.58142349,39.14662004,60.0640507
,14.75,120.3844266,42.71773457,38.82850616,60.84566184
,15,118.3103416,49.77478857,38.52562114,59.60928122
,15.25,115.9799728,50.82112452,37.73033644,59.74962113
,15.5,109.0192506,49.74781791,39.64578809,61.10184925
,15.75,108.6914353,44.35963191,40.26678699,62.35167437
,16,106.485157,46.54306437,42.66448574,62.21947169
,16.25,94.99744246,52.79123128,44.69330776,62.66902448
,16.5,88.04687777,57.89489201,48.72387828,62.646968
,16.75,81.69331007,55.95733257,52.67661243,64.09410759
,17,71.20459867,50.87454661,56.73256437,66.90180941
,17.25,54.70005138,52.64764922,62.86133281,69.14851417
,17.5,45.75162432,63.07095029,71.06630193,68.26397338
,17.75,37.25256128,76.57780525,80.65709693,66.62230014
,18,32.12093831,81.12642224,87.62006825,66.43255604
,18.25,26.49933334,83.13490654,98.72867255,66.88568299
,18.5,26.08319785,86.45884855,107.9945853,66.21361089
,18.75,24.68569445,96.12551107,115.5802476,64.28906421
,19,21.66306325,106.8938778,121.3722891,62.37971482
,19.25,21.45074933,112.4095762,127.313235,61.18797428
,19.5,21.54210215,114.8620785,127.4756761,60.62835733
,19.75,20.44342125,118.3191232,128.0103782,60.03591412
,20,19.90415442,123.1065368,123.951042,59.05832712
,20.25,20.46646084,127.9852295,118.6344793,57.88420417
,20.5,21.16228022,127.6607408,113.2485406,57.84498166
,20.75,23.70300509,125.0772439,106.4040159,58.01257609
,21,27.03978337,119.3719285,98.63729942,58.74653945
,21.25,30.37433041,119.8422031,89.81809978,58.10850644
,21.5,30.61106808,122.5374129,81.26963535,57.47169292
,21.75,33.21847328,125.1410106,72.82608083,56.4759308
,22,35.43698263,116.4120256,67.20155673,58.06074377
,22.25,35.33559733,109.0763168,59.57020785,59.70712293
,22.5,33.50892011,103.3987671,55.77314645,61.26106899
,22.75,37.02901703,106.0724997,54.48546208,60.10369067
,23,41.97482258,103.6812684,50.86945486,59.84374652
,23.25,53.68603996,92.66582774,50.77131335,60.41782744
,23.5,70.99571964,79.35333457,51.57167433,60.60661051
,23.75,84.4278756,70.23106843,51.87625145,60.48463581
2,0,101.1683267,63.35039954,49.81697171,59.33520116
,0.25,114.5240192,52.759473,52.14698666,59.55182959
,0.5,126.0434964,49.20903388,50.13508559,58.49769971
,0.75,128.7390399,59.35991065,49.45317127,55.81066235
,1,132.8976784,66.18542997,46.76443216,53.62849813
,1.25,137.7115157,61.4297052,45.93361347,53.91511189
,1.5,142.478323,52.87299064,42.64079641,55.05391485
,1.75,151.2930698,45.013774,42.14839674,55.39004794
,2,152.1046909,50.52330927,38.60514961,54.0358474
,2.25,151.02318,52.55809427,38.6085338,53.7567147
,2.5,151.2386348,53.62766939,32.17688034,53.48455857
,2.75,155.5652943,46.40098918,29.35277363,54.39822199
,3,152.6554168,49.49102315,24.65720974,54.17712816
,3.25,144.555553,58.44247477,22.20705604,53.48389491
,3.5,137.1935409,70.47110903,17.79068784,51.98878701
,3.75,133.5197238,69.93957187,18.43876026,52.69471711
,4,135.2799877,63.02241782,18.32538989,53.95022024
,4.25,132.3010006,62.26971397,15.91923066,54.59412569
,4.5,124.9017636,74.99626654,13.43523506,52.94988082
,4.75,111.4924766,92.83819822,12.86161482,51.13049303
,5,105.3933291,104.0418045,13.36416707,49.61666635
,5.25,100.5813888,107.8763411,12.05956175,49.53445754
,5.5,95.72682553,112.6117498,10.66696748,49.25887464
,5.75,90.34314708,117.0102413,10.83617699,49.14282063
,6,81.25909295,125.1207723,9.387743591,48.79392905
,6.25,71.50046598,129.7409133,8.985024958,49.32861137
,6.5,63.62626329,126.3997588,8.546772329,51.33096259
,6.75,53.71789306,123.9718292,10.90047661,53.45584173
,7,46.30527492,115.9021687,13.36755126,56.43511853
,7.25,41.50277259,113.7333967,15.70433458,57.68546822
,7.5,41.25257062,102.5770105,16.58422403,60.20469748
,7.75,40.2815116,91.07618179,16.27626273,62.91580663
,8,45.75868666,77.65125336,17.83468231,65.02277605
,8.25,42.91304964,76.41373885,17.04616599,65.7530812
,8.5,39.87645451,83.94547482,17.77884317,64.56521732
,8.75,35.82250369,89.88883091,19.46247779,63.89310365
,9,36.1962541,83.15617791,21.60467018,65.3294487
,9.25,38.68552504,69.32778073,22.48286754,68.0041425
,9.5,43.31990539,59.89959347,24.30525396,69.35779437
,9.75,42.49802966,72.32293473,26.30361826,66.72855198
,10,44.70437152,84.74491089,26.32899969,63.61509814
,10.25,46.03653596,93.87803769,27.93141375,61.37236809
,10.5,45.10829812,86.83339812,28.98558899,63.08636161
,10.75,43.91410192,85.5854316,29.92131758,63.55475889
,11,41.911886,84.48511483,29.65565865,64.11962828
,11.25,36.44068527,91.71245037,31.8790716,63.38894583
,11.5,40.49589675,91.86051443,32.09735187,62.70720887
,11.75,44.62351255,86.95558148,33.72853154,63.13677544
,12,57.73618797,75.64578613,35.13466257,63.55203523
,12.25,72.52467815,71.74307894,36.48664655,62.05314507
,12.5,84.80690824,77.87580951,38.12797879,58.72515923
,12.75,92.83973994,78.53958683,39.42581573,57.29240009
,13,110.022228,71.43595255,38.62376266,56.1217874
,13.25,117.0346188,60.02578983,37.9520009,57.53539659
,13.5,118.645303,59.38864978,38.02645309,57.41927379
,13.75,121.8771561,63.57876711,35.00944753,55.97104011
,14,129.077667,63.96883021,34.07033475,54.73227768
,14.25,132.6802024,61.02325297,33.34104177,54.81044474
,14.5,139.0196639,49.95767452,33.72176316,56.25514832
,14.75,139.5440946,48.46953597,33.47810147,56.50193687
,15,134.7338142,51.10524334,33.74714459,56.68586899
,15.25,132.9033909,49.74731698,34.62872613,57.28049812
,15.5,131.1906115,42.89573572,36.35804732,59.07711644
,15.75,129.356477,37.13077232,37.5052878,60.65168095
,16,123.4999047,44.77552059,38.10598156,59.88989957
,16.25,114.5668665,55.70902923,40.69827124,58.88951709
,16.5,103.0705903,61.20342863,43.98093573,59.50794363
,16.75,94.89518764,59.39865171,50.83730506,61.2170696
,17,83.12099265,56.01974744,57.42632336,63.85180841
,17.25,68.71111012,57.83637906,67.39783976,65.7536937
,17.5,54.71370177,67.48499852,79.81612567,65.84914138
,17.75,44.74120513,75.68694601,92.13796215,65.62208584
,18,34.16746188,82.82135279,102.331143,65.72846103
,18.25,28.78195569,82.78104706,112.9067374,66.59909885
,18.5,27.33616806,86.89303101,123.113455,65.91665066
,18.75,22.52042384,96.00654812,129.7126258,64.66194371
,19,21.57582318,105.4332016,136.54869,62.71826793
,19.25,23.15118561,108.4652563,139.5876928,61.79242001
,19.5,24.77863181,107.6462637,144.8128825,61.71402698
,19.75,23.20477519,109.3242955,142.7789842,61.59294809
,20,26.42240843,117.9435683,141.9887758,59.16273282
,20.25,23.94940194,123.5305643,136.3930173,58.31685918
,20.5,24.06504919,126.5674901,129.9833611,57.62348322
,20.75,27.1263562,120.4695449,120.8680448,58.48877302
,21,26.70396745,119.5107223,113.273922,58.76942692
,21.25,25.68454561,121.1373527,102.8759976,58.57106099
,21.5,29.47015831,125.5493822,92.4323867,56.98491196
,21.75,31.99471815,126.3038983,83.63687639,56.41331214
,22,30.92083907,121.711224,74.49448659,57.60572709
,22.25,34.70549245,109.7508354,68.04083589,59.65804667
,22.5,38.95273113,104.8020829,63.32496686,60.07821127
,22.75,42.51831864,101.835823,61.71916862,60.16688612
,23,46.36967525,97.97170535,60.71067994,60.40936188
,23.25,57.61776326,86.60091266,57.73428467,61.13651062
,23.5,66.2953034,76.31112828,57.54307792,62.03472295
,23.75,72.09467698,71.15893121,53.97275727,62.25175586
3,0,85.34505633,70.10976474,49.97772075,60.36484327
,0.25,91.7330805,67.01947378,46.92010491,60.02949072
,0.5,98.27283976,67.57418024,45.40229561,58.85986114
,0.75,105.5145118,75.45743948,44.22967371,55.94935823
,1,113.7257803,78.50001423,46.48016019,53.95942755
,1.25,122.303279,74.77472634,45.17893906,53.41486951
,1.5,128.4089348,66.30473836,43.52576215,54.32018412
,1.75,129.5519053,63.05138494,40.93178037,54.86027627
,2,127.9723678,68.17986711,37.41729885,53.97333958
,2.25,129.9447645,67.40171098,31.89937674,53.83067968
