Day,Hour,HVAC (kW),EWH (kW),EV Charger (kW),Inflexible Load (kW)
1,0,62.90625803,37.72322757,40.28426145,74.35205926
,0.25,81.94512486,50.49364773,53.28836832,68.46796942
,0.5,103.2088012,48.01348843,64.73367106,65.61692771
,0.75,109.1000764,45.21514621,60.73165799,65.29617751
,1,117.6270314,43.01761762,55.61466696,64.4202044
,1.25,123.9157848,40.59675371,50.51499599,63.95197361
,1.5,128.3866964,36.34097659,44.07085646,64.182356
,1.75,131.4644849,33.76418267,39.81337271,64.26253072
,2,135.3756795,31.40499604,37.08979551,64.16100326
,2.25,132.2457559,33.39364254,33.67666399,64.21986961
,2.5,133.3323647,35.03976142,30.06218694,63.68020799
,2.75,132.975943,36.8952703,26.96839377,63.32490016
,3,130.4165984,36.86709279,23.27705901,63.74065697
,3.25,125.2651743,38.65302245,17.93382489,64.16801157
,3.5,122.1108664,40.50649545,15.33473552,64.26081795
,3.75,119.5673839,43.73164213,14.91688942,63.95107588
,4,112.8742167,45.10992933,11.97031663,64.71569658
,4.25,111.3617382,44.89947199,10.75899593,65.00446144
,4.5,108.691132,46.21335567,11.53731549,65.13978429
,4.75,107.8750645,48.20634767,11.19632709,64.82746797
,5,104.1921963,51.69557192,8.094956391,64.64134371
,5.25,101.0624809,52.03738809,9.228336886,65.06613904
,5.5,91.25895152,54.52059274,9.644017985,66.08288048
,5.75,84.67598732,56.31550879,8.281146883,66.73728452
,6,76.68611732,62.75853432,7.692265327,66.58388027
,6.25,69.20436098,69.51818317,10.41151251,66.27881709
,6.5,56.87913979,79.49388651,12.25501488,66.03402952
,6.75,51.4824498,86.60511957,12.38166772,65.31722591
,7,41.52778775,91.54896883,13.49989317,65.81133866
,7.25,31.90398755,94.26727792,13.72830128,66.74707801
,7.5,27.0153934,96.24536587,13.46741809,67.08967797
,7.75,29.51438366,94.77260516,13.17730732,67.01711969
,8,27.54134877,92.3484113,14.30744031,67.87151502
,8.25,32.69615578,85.69639638,16.28733804,68.52497144
,8.5,33.33327121,81.74591542,18.88750991,69.30091762
,8.75,34.50578455,75.9458015,19.86500999,70.40222969
,9,35.12877026,68.67537762,22.07115082,71.91820173
,9.25,36.00171582,60.26312814,23.68624509,73.64791922
,9.5,34.54939389,54.55264312,26.25827189,75.1492874
,9.75,36.63667321,49.04317705,28.58024052,76.0396485
,10,38.0740383,47.54435514,32.31271039,76.14274162
,10.25,38.55160945,45.62159998,35.22356058,76.49360916
,10.5,41.99467413,46.75769316,39.32299891,75.69025366
,10.75,44.50610791,48.70466289,41.82033301,74.85576431
,11,46.16037801,50.81018356,46.30947237,74.12318762
,11.25,53.1079808,52.89990277,49.44440066,72.54718912
,11.5,64.45503794,53.00220272,52.06405758,70.70892666
,11.75,75.92467003,54.99886254,53.26022324,68.43008334
,12,85.01313824,61.22389777,55.5919344,65.59258727
,12.25,102.7941093,60.91711227,56.26092117,62.81580646
,12.5,112.4988323,61.0624568,55.72941227,61.23075199
,12.75,118.6903489,56.61721732,57.13125347,61.22794032
,13,126.1179185,54.18666799,58.61103488,60.57965127
,13.25,136.0046481,50.62688867,59.80720054,59.7888366
,13.5,139.7711826,47.31698449,61.55111265,59.92172535
,13.75,145.0168628,45.07075947,63.81137862,59.58157762
,14,149.1314644,43.29781471,64.71418601,59.3172291
,14.25,157.5791058,41.29895452,65.04543189,58.40979762
,14.5,158.9931279,37.67822302,64.20324466,58.98816108
,14.75,158.1727452,35.57696616,63.13156683,59.58636829
,15,156.835303,34.05896505,63.28311723,60.13769263
,15.25,156.5155358,33.72631579,64.21623469,60.26277743
,15.5,152.6259042,31.98151528,66.06081957,61.27285193
,15.75,152.207132,30.68729658,68.40443826,61.62745964
,16,151.800741,30.13063572,72.9985804,61.81618461
,16.25,145.0650233,32.41909867,77.15322638,62.38535213
,16.5,138.0223168,35.09976028,81.76360606,62.91648259
,16.75,129.2171731,38.60055342,88.24346819,63.54735154
,17,118.6234452,41.07895364,96.70106304,64.69159241
,17.25,104.9119367,42.74200625,104.7559668,66.51586652
,17.5,93.45114951,45.29908622,112.9310284,67.78135247
,17.75,82.99677012,46.72521516,118.8534016,69.13713564
,18,70.81024183,49.00317052,123.544969,70.58076786
,18.25,56.49087321,53.28993821,129.4511046,71.9192518
,18.5,47.66744066,59.1675418,132.8956287,72.02486687
,18.75,37.14210347,67.31261521,134.9870242,71.89890451
,19,29.17476766,74.80026074,138.5203135,71.50975701
,19.25,25.90899523,82.0713355,140.6744942,70.41648621
,19.5,27.01619263,87.72322934,138.7855267,68.98335822
,19.75,27.99601079,92.58067133,134.9935192,67.74715576
,20,31.30504874,95.89588247,133.5494604,66.4809961
,20.25,30.72629097,98.68309377,128.6078349,65.95421705
,20.5,32.73915627,98.92977147,123.4432137,65.57734134
,20.75,32.91031796,98.06628734,117.2015022,65.74184083
,21,28.01385286,96.89800758,112.762158,66.78489297
,21.25,27.38955847,93.38448631,107.0183978,67.66556258
,21.5,30.81648322,89.00459484,103.2621129,68.09056383
,21.75,31.59482987,82.41115116,98.80220109,69.43123808
,22,33.16152937,75.67468219,95.2851493,70.67755926
,22.25,38.32355592,64.26632778,91.86660526,72.38682488
,22.5,43.21875955,56.52942824,88.76415206,73.32290331
,22.75,50.0814605,50.01546889,85.76453664,73.67241768
,23,59.81473858,44.82476367,82.77358123,73.26858324
,23.25,71.04865228,40.42726527,81.44751523,72.44837891
,23.5,85.18774677,35.22573568,82.13057453,71.34201926
,23.75,96.29236313,39.87724582,81.68241835,68.53161172
2,0,108.9777508,46.0679179,80.16474934,65.12624478
,0.25,116.9010873,50.15134214,78.99781126,62.95108334
,0.5,125.534902,46.20387948,77.60571258,62.44688691
,0.75,131.5765405,42.21947507,72.64243696,62.36564795
,1,135.3498763,38.63507784,69.49884865,62.55844694
,1.25,138.4895384,38.59204251,66.02617948,62.06566441
,1.5,139.9195505,37.18238132,60.20014908,62.15012052
,1.75,139.1546094,38.43923503,54.71294208,61.99321027
,2,138.9027981,40.31825009,50.22596772,61.61594117
,2.25,137.145596,42.49663236,43.31635197,61.41300856
,2.5,140.6010368,43.03998246,37.27273849,60.73939356
,2.75,140.0363249,42.71137679,34.29910314,60.90277096
,3,143.1650939,44.82687614,30.13687964,59.93205694
,3.25,144.6022272,45.44696804,25.45721977,59.56431741
,3.5,142.6115491,48.54860119,23.43185692,59.1935741
,3.75,141.3138748,47.7889831,21.55804447,59.57000602
,4,140.5533429,50.60237451,20.7385898,59.06649303
,4.25,134.8074854,52.39853322,18.03666266,59.58668384
,4.5,125.6126662,58.90142743,16.75606178,59.61276732
,4.75,119.5369753,66.16735037,15.78722172,58.97022832
,5,111.9832665,72.71078675,13.95237937,58.72472474
,5.25,100.2520162,78.57093797,12.89910409,59.29946897
,5.5,94.39645997,81.93821474,13.76402387,59.48807424
,5.75,92.72120553,85.46706499,14.86059927,58.97192601
,6,85.0746337,91.31312402,13.94913186,58.89625327
,6.25,75.46368062,94.22111476,15.82727432,59.7877856
,6.5,69.96108949,94.37025843,17.80717206,60.63505714
,6.75,60.47002007,92.59672353,21.34803891,62.54774711
,7,48.47308043,91.88871805,22.52796703,64.62459201
,7.25,41.17708295,87.40848266,27.30180465,66.78755947
,7.5,35.24270402,84.11095633,28.86818629,68.46984373
,7.75,30.21261959,77.05452435,30.40101034,70.84275323
,8,29.83961941,71.70727508,30.6142634,72.09071088
,8.25,31.12479496,66.88003707,32.71648395,72.95780235
,8.5,33.91544139,61.07349207,32.16332499,73.80164225
,8.75,36.88720281,56.61948319,33.53702112,74.31594018
,9,38.99103269,50.61797264,33.90940211,75.3129964
,9.25,38.84553197,48.51027625,33.03906981,75.8046535
,9.5,38.79135285,50.29490392,32.91241697,75.41673823
,9.75,40.63083683,47.56613619,32.9968522,75.72881362
,10,43.82331618,48.07683412,33.02499727,75.1045285
,10.25,43.49430301,49.21649104,33.48397848,74.90391351
,10.5,45.61156853,52.87013094,34.03713744,73.75323105
,10.75,47.48858721,58.83016314,34.63684403,72.12845646
,11,56.61730333,59.32944302,36.43055127,70.5569108
,11.25,59.32636602,64.02487064,40.41957431,69.08003241
,11.5,76.11427219,63.30488419,42.95696102,66.55396441
,11.75,87.82540861,64.32704909,46.1286944,64.45303482
,12,102.965771,63.84693731,48.69422618,62.13726835
,12.25,117.4160818,64.19058427,49.54723843,59.74885262
,12.5,129.9066199,61.76100251,49.78755407,58.29027359
,12.75,132.6259037,57.69109774,50.46087085,58.75961146
,13,141.5596339,53.63486124,51.8421445,58.23160052
,13.25,149.0159584,50.56580548,52.70706428,57.72060099
,13.5,152.7024356,50.80371907,55.00413535,57.07789496
,13.75,158.9865359,48.88533254,56.52829938,56.49874702
,14,165.1402758,45.3277819,57.42461175,56.30471545
