Day,Hour,HVAC (kW),EWH (kW),EV Charger (kW),Inflexible Load (kW)
1,0,86.44971736,35.92705432,54.17352561,66.18425537
,0.25,108.2548352,47.97946355,71.47015132,60.01712335
,0.5,136.4200876,42.74906993,85.94620751,56.67299266
,0.75,149.7314349,37.52568754,82.50269865,55.70392874
,1,154.6548698,35.03848909,77.88268071,55.46888992
,1.25,155.8597737,35.66020856,71.92799093,55.13794542
,1.5,161.7319074,37.36758007,63.91718506,53.81898813
,1.75,166.8593572,37.70438726,59.55244739,52.92375012
,2,166.9347272,37.95181107,53.57139715,52.85670786
,2.25,174.809485,36.68472567,48.57955795,51.87832114
,2.5,172.0312459,40.2447799,46.49291922,51.53171624
,2.75,170.4252018,41.86394971,45.33722104,51.42886777
,3,167.1541045,44.46776238,42.15454202,51.37361831
,3.25,165.9500903,42.04227426,38.55425777,52.10525794
,3.5,155.4587533,44.06199244,35.70316562,53.33504559
,3.75,151.0206654,45.59056684,32.21526019,53.70545646
,4,142.3802095,52.46193248,27.99481138,53.56095925
,4.25,137.4000422,55.13150576,25.52109006,53.76454752
,4.5,129.915429,57.01098161,22.47298814,54.54442434
,4.75,126.6096198,57.43434171,21.09530712,54.97927378
,5,119.8787999,62.59690693,17.9112407,54.90896825
,5.25,116.4047579,66.56974022,15.79546672,54.58196312
,5.5,109.3966719,77.07361841,13.78790938,53.36906174
,5.75,108.3246226,82.0727584,11.63745058,52.42966962
,6,103.1725383,89.1092047,10.18485035,51.69034839
,6.25,91.75938804,91.18988792,11.58195487,53.05407838
,6.5,75.78725157,97.2685278,11.49593652,54.25881135
,6.75,64.28789103,101.9818854,10.78281663,55.05129623
,7,51.28266176,103.0506222,11.57918008,56.89463585
,7.25,42.91461667,100.2228249,10.52892376,58.86192247
,7.5,38.18103163,93.81928828,10.12241767,61.04230421
,7.75,44.02949616,85.74678537,11.85527125,61.90043942
,8,42.98496133,78.01131846,14.77157086,63.78655764
,8.25,46.77159944,68.92945145,15.13784255,65.19888821
,8.5,44.36769982,64.84635421,16.80965084,66.49086709
,8.75,48.7211637,57.7761984,18.58135141,67.36545861
,9,48.2576048,55.98609257,18.68124369,67.83742933
,9.25,53.7590378,51.34992999,18.29832329,67.9874584
,9.5,52.92866077,54.13999492,20.39883594,67.5003043
,9.75,60.10321177,59.80626329,24.69281658,65.09320538
,10,61.20233089,66.47837756,26.77113095,63.43465427
,10.25,64.48019802,69.75678003,30.16469367,62.18166164
,10.5,65.04049229,68.58494405,32.92283051,62.35242256
,10.75,66.83046438,68.02007521,36.11660867,62.19155343
,11,67.05221208,70.66689742,38.22405829,61.56789109
,11.25,69.90815951,73.41785327,42.32102915,60.49961597
,11.5,75.48269605,75.21092402,45.0195081,59.20922996
,11.75,84.77295412,74.04376905,47.05897547,57.98215644
,12,91.04259363,72.43948335,50.28743846,57.33552205
,12.25,107.85173,68.47442657,50.00302294,55.52718396
,12.5,115.0166727,66.99224946,49.11370417,54.71016583
,12.75,122.5642625,66.86386405,49.39118272,53.53108155
,13,128.347484,65.20069428,49.13590245,52.97535938
,13.25,140.225281,59.52436115,49.63813864,52.33631923
,13.5,143.7836501,54.10567736,48.92224397,52.97113213
,13.75,146.7578611,50.19994481,48.38532296,53.36319894
,14,146.8194232,49.88308598,47.82620368,53.42376207
,14.25,156.4813927,45.73227239,48.92085657,52.80024997
,14.5,163.6058422,42.877702,47.00486715,52.29468703
,14.75,166.4179316,36.57234576,48.45330521,53.245943
,15,168.4126425,33.8458732,46.81063217,53.53267205
,15.25,168.2242276,33.68052689,45.10830123,53.59956206
,15.5,163.2247382,35.72015804,43.8291251,53.94622899
,15.75,162.735502,35.71355233,44.87799403,54.02597472
,16,165.8376766,31.10028316,44.70318254,54.5547977
,16.25,159.4910723,29.20352828,48.16472751,55.99175548
,16.5,152.0586857,29.64106428,53.27588249,57.08370711
,16.75,138.6101085,33.84364659,58.65341688,58.30157228
,17,120.9156197,40.94318741,60.71924472,59.55501476
,17.25,106.6440327,45.29913476,66.65589839,60.87048037
,17.5,93.68695629,47.8906206,73.42776252,62.36772686
,17.75,79.74250283,49.84691801,81.73824523,64.16410666
,18,67.02110013,55.60317165,88.7903627,64.92036361
,18.25,55.11439906,62.32154012,99.36090823,65.33246501
,18.5,42.24351297,69.43568862,107.9877165,65.8108849
,18.75,37.36730361,74.44278362,118.7011635,65.47839062
,19,34.22036687,79.28991078,127.5957386,64.90476113
,19.25,36.71295254,83.91134249,137.8111115,63.4789626
,19.5,34.01142831,86.3643722,145.5832859,63.36608876
,19.75,33.27820796,91.62202239,152.1650772,62.31503731
,20,31.47666919,93.85933869,155.8042084,62.10610211
,20.25,35.32545656,95.9088371,159.7402417,61.03485204
,20.5,32.92328846,93.9908563,158.992437,61.84541689
,20.75,35.74822685,93.00937737,161.0110935,61.61153318
,21,41.8077041,91.21971885,159.6514486,61.03971871
,21.25,40.3117832,91.77616392,155.5128559,61.15541159
,21.5,38.26900766,88.82510635,149.2071558,62.13804625
,21.75,43.40380193,83.94394616,146.5447491,62.40118143
,22,45.06977273,75.40854969,140.5026535,64.03138088
,22.25,48.30334932,70.01945629,135.7008871,64.71158493
,22.5,57.12210622,65.05508852,131.0891936,64.40377667
,22.75,66.96215103,62.34338103,127.2752508,63.43197116
,23,75.22215457,57.70607383,122.2390151,63.14088331
,23.25,90.61883719,51.23183113,115.3131503,62.11613469
,23.5,105.5008147,46.66997388,108.8673235,60.74876435
,23.75,117.8110602,46.30294056,104.3485853,58.86068802
2,0,134.3063998,44.52849521,97.25900818,56.61575487
,0.25,148.5470493,43.03128533,91.09620949,54.66996427
,0.5,158.8032337,38.50201248,88.61138903,54.03547983
,0.75,163.7255776,35.92512511,84.2979849,53.82054645
,1,172.1444762,34.79677713,78.39324125,52.72426666
,1.25,171.723482,35.32289205,75.72251017,52.67471131
,1.5,169.768815,38.35454422,71.13578966,52.31375755
,1.75,171.9909452,36.96652931,65.17138813,52.26666448
,2,179.4168984,34.86908584,59.90761994,51.54461051
,2.25,180.2235338,31.33395297,54.98931256,52.20113393
,2.5,187.1303964,33.87532053,48.94860443,50.53128757
,2.75,185.2372921,36.7016307,45.05280552,50.20611532
,3,185.3473634,39.33443104,41.15145704,49.60343719
,3.25,181.4335303,40.45144948,40.01795715,49.98142415
,3.5,181.0181662,43.05047404,35.51031803,49.4703214
,3.75,172.4875116,44.00396539,30.22573896,50.62333917
,4,167.8728416,45.26790137,24.94670945,51.0808117
,4.25,158.5672978,50.48932003,21.61557941,51.40938345
,4.5,148.9040394,59.2329872,17.31188702,51.01246765
,4.75,144.0617871,65.14873391,15.68031312,50.47261764
,5,138.9214402,68.9639069,15.42919503,50.44725692
