Day,Hour,HVAC (kW),EWH (kW),EV Charger (kW),Inflexible Load (kW)
1,0,57.8390752,50.13794209,54.20881126,67.60398306
,0.25,76.33884185,65.30856419,72.04575078,61.27277104
,0.5,102.3341152,54.31918686,88.35766423,59.55561115
,0.75,116.0156699,47.32679896,86.15224192,58.92042637
,1,128.4249678,43.83165837,79.02567779,57.71163663
,1.25,136.276979,42.77680365,73.51798749,56.689727
,1.5,142.4025134,41.43186373,66.83133472,56.00851703
,1.75,142.8230224,41.93395737,61.47028154,55.82965922
,2,142.2461887,45.10265819,53.91553702,55.21779687
,2.25,139.5882103,49.98935944,51.19395203,54.55713982
,2.5,143.7399791,49.23626948,43.92661627,54.06021013
,2.75,143.1842708,54.25614959,39.14624609,53.03359455
,3,144.2920809,54.10901611,32.32468717,52.88904125
,3.25,138.7515521,57.40738232,29.77906674,53.04255559
,3.5,135.033334,59.24301247,22.77567779,53.22955267
,3.75,131.0019453,62.64927156,21.29171011,53.1176284
,4,119.911942,62.91615751,17.71962982,54.83272095
,4.25,119.0059159,55.67678005,16.78701773,56.58643566
,4.5,116.8282303,50.67407495,11.3262513,58.04657761
,4.75,117.4335499,48.39866707,11.47288843,58.45537267
,5,114.9892946,49.69858012,7.859749739,58.55758395
,5.25,106.7810575,49.6899614,4.346324296,59.87281716
,5.5,98.00123769,52.61971403,1.906282586,60.62653219
,5.75,86.95624744,56.83732374,5.671923879,61.45648402
,6,80.61579936,65.26831041,4.363920751,60.59740312
,6.25,68.40732087,76.43971963,5.38451512,60.0682243
,6.5,58.04491218,89.64148077,8.845151199,58.79248499
,6.75,48.01186732,98.70275568,9.461027112,58.38415552
,7,41.3351856,105.0496488,5.443169969,58.0420039
,7.25,34.9398976,106.6521046,4.633733055,58.70914868
,7.5,32.20346221,106.7640593,2.833029197,59.12209953
,7.75,34.47956683,104.2538198,1.906282586,59.31575379
,8,34.03407362,100.3037072,2.375521376,60.2648355
,8.25,33.32953749,97.65756833,3.800834202,60.96559215
,8.5,34.24612473,92.02289113,4.504692388,62.07108868
,8.75,40.71169096,84.9953267,9.308524505,62.59827907
,9,43.14287501,75.24676895,11.25586548,64.37563579
,9.25,43.40684788,66.19140983,12.54040667,66.34570216
,9.5,46.03754152,61.67923065,16.43508863,66.92749766
,9.75,45.70763193,59.43370531,24.23618352,67.47928882
,10,42.94858118,60.73821208,27.91384254,67.63084655
,10.25,45.73432067,61.87285561,34.08433264,66.93298522
,10.5,45.43858652,64.31119191,41.26955162,66.43845018
,10.75,45.0641899,68.05502941,48.22601668,65.66638975
,11,45.1837588,72.48089789,51.02971846,64.66373239
,11.25,46.78169238,75.21207934,57.03597497,63.80113381
,11.5,44.50818326,79.62485084,63.01876955,63.18427938
,11.75,46.83070186,79.79163305,65.45294578,62.77561369
,12,45.26350659,83.2001325,69.6350365,62.26892061
,12.25,51.23990946,84.55741842,73.49452555,61.01107706
,12.5,53.91494629,86.6541903,75.4125391,60.11712186
,12.75,57.00272888,85.24785956,78.30422315,59.93559459
,13,63.53457221,81.426356,77.82911887,59.73972267
,13.25,75.22980187,74.71431257,73.22471324,59.36005113
,13.5,83.40414031,68.80833752,72.38008342,59.36459588
,13.75,87.97857386,62.76606731,69.86379041,59.97541323
,14,93.93164582,56.38977981,63.92791971,60.43987449
,14.25,99.30294134,52.7427007,61.73422836,60.39092923
,14.5,101.6524717,48.22095444,58.91879562,61.01983687
,14.75,100.0462755,50.07462252,54.36131387,60.86490203
,15,99.04639995,49.81596378,48.36092284,61.08236184
,15.25,96.87037679,51.35087793,46.57781543,61.08943351
,15.5,91.27588729,49.5961456,43.75651721,62.37449234
,15.75,88.83523213,46.25702582,45.2346194,63.50702379
,16,85.86794837,46.88648614,45.36366006,63.84190912
,16.25,78.40048659,49.85241619,51.88607925,64.37760744
,16.5,72.84509994,54.24578113,55.11796142,64.29016598
,16.75,65.21505456,56.00527814,63.13021376,65.11997391
,17,56.14122884,56.90862102,70.23331595,66.37104316
,17.25,47.30031186,57.4556605,79.44212722,67.66402555
,17.5,41.02853217,57.47838619,88.61574557,68.66246014
,17.75,36.30003266,56.42570818,99.63699166,69.65294851
,18,32.64041336,56.26602751,109.7021637,70.27397219
,18.25,30.92280424,57.97002845,118.6528936,70.17012278
,18.5,28.80834396,62.09903107,127.5566997,69.59088028
,18.75,27.39878024,66.66312624,132.3605318,68.80216711
,19,26.21725399,73.47529139,135.7918405,67.47739683
,19.25,25.89547379,80.70107457,138.0441867,65.92315207
,19.5,24.10138852,89.17042193,141.3112617,64.32812852
,19.75,23.34961063,91.1931493,145.3760428,63.99891801
,20,24.23475588,94.68162127,146.5960636,63.08207878
,20.25,24.25396298,97.41922444,147.9685871,62.47064938
,20.5,27.14671246,105.423945,151.3295099,60.22898266
,20.75,29.52086787,110.0494651,150.0566997,58.82122444
,21,31.59141191,113.7200508,143.6867831,57.6742517
,21.25,31.16616017,114.3649507,138.3902503,57.59898088
,21.5,29.01771131,117.2511851,135.9736705,57.30134727
,21.75,27.60290055,116.5306939,129.8794317,57.68782617
,22,29.47631114,114.1857017,127.3514077,57.90918985
,22.25,31.60424176,105.8385833,126.8059176,59.42363614
,22.5,34.889162,100.1238837,124.7705944,60.16798216
,22.75,43.1529012,93.00993633,119.8611835,60.42666107
,23,51.10776165,86.37871693,114.7288843,60.62748771
,23.25,60.31710227,79.62717676,108.241658,60.65433547
,23.5,69.16117503,72.25734391,106.7400938,60.87702446
,23.75,81.26091903,71.13777272,107.3501043,59.18985902
2,0,101.1974506,73.15109766,108.4704119,55.55260843
,0.25,114.3372562,71.30534318,110.3121741,53.86040718
,0.5,126.7970052,63.26069125,110.2300574,53.65454778
,0.75,139.919498,57.51391026,104.6695777,52.83201136
,1,152.1131909,49.24294976,95.12643379,52.71901173
,1.25,157.0274472,42.22811193,86.11704901,53.49158357
,1.5,159.4676993,38.95568083,74.4447341,53.82835015
,1.75,161.6830196,38.8882994,68.99569864,53.48887255
,2,161.884838,42.91755037,61.96298227,52.5611925
,2.25,160.5391972,45.37131669,59.0830292,52.23121362
,2.5,161.3570275,47.77589661,52.5664755,51.56600969
,2.75,164.6539991,48.08410764,46.76551095,50.97000289
,3,161.9126102,48.40865468,39.66240876,51.33650354
,3.25,158.8075838,50.77407855,34.6826121,51.30765803
,3.5,161.0957391,53.0233905,29.90224192,50.44170608
,3.75,158.8525565,57.75838288,24.00156413,49.74839477
,4,151.3480365,62.72899723,21.64950469,49.84453699
,4.25,145.8775225,66.14169171,18.45281543,49.96144268
,4.5,139.4191858,67.08020667,13.60792492,50.78621768
,4.75,132.220637,66.01938651,12.34098019,52.1737233
,5,129.5610567,62.96330095,15.84854015,53.27838627
,5.25,125.6503294,65.99531093,16.90432742,53.23032265
,5.5,118.3585634,70.01994657,16.54066736,53.50264173
,5.75,110.7144568,77.47999272,22.03662669,53.06791076
,6,99.82961838,83.0986496,21.65537018,53.56089448
,6.25,86.63424473,91.53262214,21.77854536,53.79793814
,6.5,74.00432163,98.09816017,24.15406674,54.35971739
,6.75,63.91482673,101.0679861,23.52059437,55.31407526
,7,51.03060379,101.8487241,21.96624088,57.20205359
,7.25,41.41054165,99.39569592,24.09541189,59.28638091
,7.5,33.64183296,97.53786551,23.51472888,60.9422255
,7.75,34.63006903,89.02312338,22.7346194,62.67627265
,8,32.04230667,86.48434398,23.65550052,63.65448783
,8.25,32.63540606,84.64244461,23.84906152,63.9689029
,8.5,35.50367148,83.78922271,24.03089155,63.69958529
,8.75,42.15318321,81.19266055,23.46193952,63.21267723
,9,40.22503516,77.02062822,25.46206986,64.44829921
,9.25,47.64251979,73.29938136,27.21584984,64.08844542
,9.5,48.29926049,67.6145437,27.02228884,65.24666417
,9.75,46.27974771,62.64556117,28.11326903,66.67400455
,10,45.34890032,63.43801473,31.19851408,66.64683934
,10.25,48.24602201,64.75261088,31.32168926,65.89116739
,10.5,44.82722159,73.05418094,33.52711157,64.59338211
,10.75,46.49892711,73.45475185,38.43065693,64.23689347
,11,43.34201946,78.14008669,43.42218457,63.70081318
,11.25,43.51781509,78.95631695,48.34332638,63.49130138
,11.5,46.26411658,85.82163934,51.45789885,61.52626594
,11.75,48.70432755,85.96061156,56.18547967,61.10494947
,12,55.34418502,87.39668644,58.21493743,59.72344452
,12.25,65.68843528,85.63081514,57.7632951,58.46078032
,12.5,74.0860396,88.84846037,56.80722106,56.40213136
,12.75,78.59943615,88.23241194,58.49061522,55.81688756
,13,89.02731849,86.45740043,58.42022941,54.54287339
,13.25,92.84565004,79.48590583,54.02111575,55.48116136
,13.5,96.35857942,74.96051657,50.3551877,55.92473472
,13.75,100.9118741,69.82374813,45.22288843,56.33771168
,14,107.5755612,64.44730651,42.63620959,56.46628653
,14.25,111.2711815,57.91194724,38.18430657,57.32728935
,14.5,115.6492299,50.70194466,39.67413973,58.2290244
,14.75,117.0092816,49.69969625,42.84150156,58.23413799
,15,119.2341512,48.32340203,45.43404588,58.18400202
,15.25,116.4085658,46.97177051,43.86209593,58.93645825
,15.5,113.9497919,47.75821393,46.41944734,59.15509687
,15.75,111.9254933,48.32611341,50.34345673,59.35278476
,16,108.7477037,49.76231188,52.12656413,59.54207588
,16.25,101.8611544,48.32921754,56.79549009,60.96238917
,16.5,94.49318648,48.5700952,65.13034411,62.08773567
,16.75,85.12422852,50.94260418,72.8141293,63.05954473
,17,76.74118515,54.37434643,78.40393639,63.63822228
,17.25,67.27081173,58.70215813,91.06165276,64.19174609
,17.5,56.78440654,62.42937257,101.9597237,65.04130105
,17.75,49.44477102,62.20793506,110.8166058,66.26485107
,18,43.23464496,63.44567423,123.3218196,66.98341809
,18.25,38.84544062,63.90979602,134.8240355,67.58255261
,18.5,33.99487104,67.23869261,140.4255735,67.61888894
,18.75,32.75120537,66.98742572,150.0215068,67.87371254
,19,30.50841392,71.72114773,162.8434567,67.18062094
,19.25,27.66153526,78.10390505,166.8495829,66.21773101
,19.5,27.18112037,86.1977462,169.9289625,64.49596603
,19.75,26.56780795,91.85879797,177.6303441,63.33608451
,20,26.81751953,96.99394094,179.5835506,62.15498778
,20.25,26.63779589,101.7562941,177.3605318,61.12544286
,20.5,28.79260216,106.3718301,177.2314911,59.75499919
,20.75,29.87779509,110.3544595,178.6157456,58.69633956
,21,29.710923,113.0835269,174.6154849,58.11657969
,21.25,29.48967895,116.7327404,170.6269552,57.3410424
,21.5,29.36834728,121.1434929,161.4885297,56.38028823
,21.75,32.08990202,124.2115681,157.9751043,55.26304499
,22,30.27734761,122.3863649,151.4585506,55.9586544
,22.25,33.98328557,116.9809375,143.6222628,56.56691042
,22.5,38.10286845,107.9854006,138.3667883,57.90678536
,22.75,43.53437101,100.009167,137.6922576,58.81024131
,23,52.74117874,91.46847484,132.1200469,59.23508366
,23.25,65.77115828,83.3817312,129.3456726,58.94734108
,23.5,71.36374637,77.91142304,126.2838895,59.26815102
,23.75,73.62919154,76.7442205,123.6209593,59.16505813
3,0,80.45412064,81.65334594,120.8172576,56.98215271
,0.25,84.57404619,82.03322106,120.8524505,56.23854793
,0.5,90.52329839,74.64310889,116.2891032,56.92891473
,0.75,99.44726479,61.85092755,111.5028676,58.34378707
,1,108.5982346,53.0376571,105.2619917,58.83813644
,1.25,116.316074,51.01360848,98.00052138,58.05307072
,1.5,122.1367075,48.24262979,86.75052138,57.73754239
,1.75,121.5757312,46.89486269,78.58576642,58.12680241
,2,123.8152434,46.29708999,71.17765902,57.90131884
,2.25,127.2440363,47.93483154,63.37069864,56.9887694
,2.5,127.0858349,49.98645388,53.15888947,56.55816556
