Day,Hour,HVAC (kW),EWH (kW),EV Charger (kW),Inflexible Load (kW)
1,0,50.64254211,27.71149222,38.75513815,59.33908388
,0.25,67.86353102,40.91288329,51.88961497,53.65008319
,0.5,86.39058931,41.12522714,60.36987775,50.63856635
,0.75,97.01074131,41.42072457,58.7997363,48.87367593
,1,105.0873451,42.21123545,57.94533952,47.40575025
,1.25,108.2054201,44.08792824,56.07915708,46.4898154
,1.5,109.7966423,45.51327166,49.79859127,45.91847687
,1.75,111.7650658,44.45495772,46.97683349,45.83870997
,2,117.1053615,42.72472045,41.59188536,45.36875984
,2.25,119.4070838,40.26754486,35.70853911,45.54652329
,2.5,120.6146441,38.23811236,30.70207377,45.80429864
,2.75,121.511378,35.78071859,28.65227097,46.20690872
,3,118.7075838,34.92378413,30.55592695,46.84594568
,3.25,116.3042914,35.10714265,26.00663883,47.18972613
,3.5,111.4298777,38.1763748,22.51410463,47.28758073
,3.75,111.9626041,41.17856293,24.0167937,46.53519157
,4,106.7133112,43.37631625,24.31658204,46.88668882
,4.25,102.6936807,43.4842481,18.18591041,47.50584484
,4.5,99.94175464,42.09392064,17.34650305,48.25511467
,4.75,98.32795845,39.63376579,18.58687732,49.06002314
,5,93.23900313,39.93431823,19.60241034,49.80746656
,5.25,83.84100405,42.2811988,18.22713131,50.7896174
,5.5,76.25113084,47.07602296,22.08690624,50.93848063
,5.75,68.82502113,54.28289864,25.68436636,50.52513025
,6,62.59485014,62.60223597,26.90225651,49.67321598
,6.25,54.1161181,72.50000283,24.18542464,48.83030937
,6.5,46.00218375,79.715489,27.04465597,48.52509749
,6.75,37.40693146,88.02786221,29.6827934,48.05314381
,7,30.63147156,93.67528692,30.35731717,47.88223412
,7.25,24.49089355,96.11290876,32.70316096,48.32303286
,7.5,21.18919051,92.2458148,33.83860932,49.71065956
,7.75,21.30857261,87.22965449,34.42319659,50.80626072
,8,22.4860732,81.55532554,31.89747979,51.87882261
,8.25,22.17564995,74.44658618,34.66677462,53.50821019
,8.5,24.02000164,66.83437104,37.73960514,54.90471728
,8.75,24.99812783,60.3563346,43.09832179,56.18778075
,9,26.68408202,59.28539998,49.01539422,56.15601355
,9.25,26.31301206,58.68470797,57.18462659,56.34887185
,9.5,27.61073197,61.2169739,60.44107748,55.57851091
,9.75,25.75741965,62.49870353,64.54443044,55.59021207
,10,24.63390918,63.27238911,68.96630851,55.59804362
,10.25,24.58680171,61.54310792,73.08839824,55.98986552
,10.5,23.48161594,61.32317811,77.1992459,56.21556853
,10.75,23.20976548,61.49382057,81.50495599,56.22114406
,11,22.55870484,62.0353527,85.78068725,56.20497329
,11.25,25.44153873,60.65217928,90.00020819,56.05109174
,11.5,30.64709195,61.43981977,91.40546605,55.043172
,11.75,38.44081333,61.28222922,94.61694868,53.83119671
,12,43.75184638,61.26085672,98.10198818,52.98618086
,12.25,53.81864835,58.84375285,99.25992066,51.91262674
,12.5,62.10547805,57.43429466,99.35735187,50.89994692
,12.75,67.84697305,56.19178588,99.83701322,50.25742078
,13,72.62946683,52.02205952,95.59875551,50.41882763
,13.25,78.14150734,47.78267358,94.38836007,50.47898692
,13.5,82.96811115,44.21661941,92.05001099,50.49918679
,13.75,85.82394913,42.99241819,87.05853506,50.31429743
,14,86.53187663,42.68909691,81.71855519,50.26843376
,14.25,92.05144857,41.80279251,80.44070737,49.58225878
,14.5,94.71863855,40.91146938,77.06059379,49.35358019
,14.75,95.88681074,42.04412182,74.91710714,48.9149721
,15,96.44266667,42.8832,77.5440025,48.63957333
,15.25,96.44852797,44.17479124,79.56757382,48.35161525
,15.5,90.95193756,41.25389523,81.88718613,49.88015772
,15.75,89.02242264,38.11695125,82.17198506,50.88597877
,16,89.83375213,35.04491609,86.27159066,51.43884053
,16.25,84.67737653,35.46372809,86.9161356,52.17079129
,16.5,81.44583241,34.85544992,94.62069604,52.82301128
,16.75,75.94124807,37.3046823,101.6619748,53.15947091
,17,69.07024985,38.90413942,114.3392744,53.90339571
,17.25,57.48136143,45.89383468,121.5529314,54.20435224
,17.5,50.4492574,48.54171831,134.7548606,54.7410703
,17.75,42.74120577,52.51585624,141.9272967,55.0912168
,18,35.6901034,53.8217158,150.1115185,55.92920217
,18.25,28.11090672,58.24365992,157.235239,56.15921939
,18.5,23.739925,60.29190106,164.9997571,56.40341176
,18.75,19.25435369,63.23178808,167.8777252,56.46779495
,19,17.5581022,66.53569094,169.9387701,56.00499455
,19.25,17.25602786,70.62210539,171.0779658,55.14523434
,19.5,15.14702397,73.43835422,166.6261089,54.85684189
,19.75,16.54649981,75.44502604,166.1689317,54.18699869
,20,15.51817839,78.9108177,161.5709279,53.58135419
,20.25,16.19924172,81.69233752,159.0527058,52.85426854
,20.5,16.95514026,81.34736842,153.2592961,52.80998458
,20.75,20.40277253,78.27306778,148.2116099,52.94154133
,21,20.38776757,74.36948578,138.4385098,53.81140479
,21.25,22.78857819,69.57113041,132.0605128,54.49357629
,21.5,23.3053687,66.06602676,123.8463122,55.18980173
,21.75,21.88033624,62.9345122,115.583396,56.11369905
,22,20.96098231,59.38942892,109.8424492,57.04859196
,22.25,22.68290785,53.47686692,106.1962735,58.08698654
,22.5,25.24322949,49.29533171,101.1935555,58.60656512
,22.75,29.77585963,48.47142378,96.19458484,58.06443495
,23,39.0248923,48.94492523,93.84874105,56.47936718
,23.25,47.99251301,48.11725693,88.05533131,55.22847416
,23.5,61.6124794,45.88039459,85.63079307,53.54636005
,23.75,75.11533996,41.92028508,84.54031297,52.2659267
2,0,94.68908865,42.1950523,84.57778652,49.07306753
,0.25,106.7845699,36.01872417,80.8154428,48.51030789
,0.5,114.7752822,35.43043443,79.45515319,47.36252498
,0.75,123.5815798,39.20946851,73.83037439,45.11373201
,1,127.6485252,42.30258073,68.5241207,43.77566247
,1.25,132.3281329,44.49733554,61.05939094,42.53920196
,1.5,132.7750733,44.14701931,58.35380114,42.54553954
,1.75,137.1639518,45.44686036,53.25739929,41.55446541
,2,135.7534844,44.46937632,48.10103978,41.99735887
,2.25,137.7249049,45.36043004,44.91578862,41.48391965
,2.5,141.0148066,43.79336573,40.3665005,41.30577189
,2.75,143.7372408,41.97085886,35.16517274,41.27518394
,3,141.4619656,38.96803894,32.07735279,42.3065213
,3.25,141.8229417,37.42962745,30.85571529,42.59063434
,3.5,139.3537383,41.09059447,27.69294827,42.17215865
,3.75,136.6316662,43.48770839,27.85783185,42.07499821
,4,129.521125,46.8510832,25.02483201,42.46526818
,4.25,124.0171222,49.17780227,22.97128185,42.82885994
,4.5,117.1189591,53.29605948,23.25982813,43.01739777
,4.75,110.8949473,59.20639767,21.1388256,42.69983117
,5,104.0445003,64.15532029,20.95145788,42.69614211
,5.25,94.57674257,71.21905093,24.6725807,42.64126543
,5.5,88.998009,74.40215913,25.69935578,42.82650542
,5.75,82.25743624,79.73948186,25.55320896,42.71892534
,6,73.70209649,81.98869526,27.87656863,43.5879545
,6.25,64.40676822,86.64093465,31.59394409,44.04137605
,6.5,57.46457828,86.31516089,31.83377477,45.22452061
,6.75,48.47428803,86.37694592,38.90503233,46.64923704
,7,38.82416535,84.45994986,45.23806109,48.6192558
,7.25,33.32594453,79.57879319,44.96825158,50.58367261
,7.5,27.99141938,74.35126207,46.5496351,52.59887022
,7.75,24.87183127,69.25291116,48.31838632,54.23097118
,8,22.83015628,64.34700014,49.28145638,55.64784163
,8.25,25.98878653,59.34572879,49.51379235,56.25385442
,8.5,27.21424013,54.33263536,55.20602353,57.17180261
,8.75,28.38514711,55.02780574,55.58075895,56.82997519
,9,27.01248662,60.17843739,55.96673645,55.90501605
,9.25,29.82639444,62.0591716,57.5780988,55.03684987
,9.5,30.1073454,68.05821151,57.77296122,53.65877773
,9.75,28.29386742,74.28462929,60.70713964,52.56528582
,10,28.94618771,81.06141528,63.44270827,50.95496213
,10.25,29.92567424,81.2534296,68.91384555,50.75557443
,10.5,28.57713701,76.75673161,69.16117093,51.97060661
,10.75,26.33119887,74.62941111,73.55681752,52.8026946
,11,30.13686241,71.89036241,75.20190606,52.80246592
,11.25,33.4890342,71.53632857,78.07612681,52.34479262
,11.5,42.27679006,69.5717452,79.80740449,51.37532577
,11.75,48.97475414,66.26538039,84.13559871,51.03839925
,12,61.09869585,64.82807523,83.83206301,49.41796972
,12.25,69.70019976,65.9674183,85.29727854,47.78854175
,12.5,79.57359748,66.02337552,85.55209863,46.19636318
,12.75,80.98436084,65.06025154,84.97500607,46.18466859
,13,92.37051317,58.8897337,80.2908132,45.7341104
,13.25,94.87720323,55.33093457,77.42408716,46.12388425
