Day,Hour,HVAC (kW),EWH (kW),EV Charger (kW),Inflexible Load (kW)
1,0,86.58327344,33.41074451,31.99593008,82.72206636
,0.25,109.5048218,51.30809405,41.22695957,75.07742984
,0.5,133.7534927,51.48339025,49.95312232,71.15868778
,0.75,135.8064451,55.0322256,46.4993748,70.04158531
,1,145.7173342,52.40275829,42.05310516,69.04016913
,1.25,149.9690151,55.72895929,39.10422439,67.62074441
,1.5,155.7183185,59.77203021,36.56267929,65.80239567
,1.75,160.1345417,63.21038961,33.07450903,64.33172008
,2,165.3222263,62.05544623,30.44116998,63.75834464
,2.25,165.410919,61.49376336,28.40449163,63.86897222
,2.5,164.7964057,59.13969943,25.57609042,64.49041966
,2.75,165.1744232,57.14103473,21.82974968,64.87408457
,3,164.8751523,52.48136419,19.684066,65.95745026
,3.25,163.2914847,50.91484716,16.34506093,66.55895197
,3.5,159.5358373,51.81425039,12.88557629,66.95998816
,3.75,154.3260679,51.17417862,10.66531003,67.93578945
,4,149.1026201,51.82742358,9.185132518,68.62637555
,4.25,146.2414504,52.13907401,7.911491407,69.01490705
,4.5,138.0501973,57.84857519,6.121509304,69.0567295
,4.75,131.1620174,64.44649797,6.155932037,68.69263322
,5,126.194459,68.74438055,5.691225145,68.53235755
,5.25,116.2976566,75.40385217,5.765807733,68.63596336
,5.5,105.1098386,77.61832379,4.142202172,69.93390942
,5.75,101.4207974,79.99304433,4.578223454,69.99644033
,6,93.54262788,82.17460381,4.681491652,70.77215647
,6.25,82.1680791,87.71327684,4.767548484,71.36126805
,6.5,68.63097757,94.93055823,3.562752838,71.92336398
,6.75,52.80983207,98.49997185,3.597175571,73.66154423
,7,39.51404066,103.8643869,4.233996126,74.59677864
,7.25,30.2933877,106.3598653,4.813445461,75.51753235
,7.5,18.81372041,115.9446345,5.410106161,75.2243304
,7.75,19.54903864,111.5185204,7.005026111,76.09026039
,8,23.71675943,106.7736549,8.410621031,76.47783962
,8.25,21.14506589,100.2417765,9.896535661,78.34083913
,8.5,18.55384351,98.91772403,10.78005247,79.04966859
,8.75,17.2571369,93.46501486,12.03648221,80.46885479
,9,16.01987695,85.64694747,13.24701498,82.40416469
,9.25,15.76575718,80.49378858,15.49022973,83.58997028
,9.5,16.50459896,75.97840829,17.59575355,84.47517344
,9.75,19.06009152,69.11416185,19.38573565,85.59168272
,10,29.16778164,58.86004817,20.80280482,86.25314423
,10.25,31.78605811,58.27472431,23.90658788,85.96429197
,10.5,31.3697455,61.90105805,26.55140118,85.22505004
,10.75,36.88308261,65.90577989,27.88241351,83.45297792
,11,37.95671574,67.29813973,29.77566381,82.97178332
,11.25,45.12540631,68.3622068,32.27704906,81.58833348
,11.5,61.41482174,76.07759317,33.8432834,77.26749671
,11.75,78.10438773,77.99680446,34.74974869,74.17067475
,12,90.08282986,82.72773339,36.2815603,71.20280647
,12.25,106.7466577,80.84722848,38.0715424,68.954484
,12.5,119.1332977,78.41289632,38.616569,67.5135843
,12.75,129.0854914,74.20313098,39.20175546,66.85673671
,13,132.2385056,69.57747783,39.44845171,67.38017736
,13.25,139.7951468,68.22908388,39.05832741,66.47075787
,13.5,145.0914983,63.93172287,37.29703092,66.57831075
,13.75,154.6194571,58.73582588,36.47088533,66.20848112
,14,157.3979548,52.33044998,32.87944688,67.18733835
,14.25,166.2878662,49.53426662,30.2116851,66.38632661
,14.5,170.4033339,50.71656787,28.15205825,65.46511816
,14.75,171.8766516,51.49116766,25.89736926,65.05725405
,15,173.8833894,48.31544546,22.7190036,65.44189204
,15.25,176.3748865,46.10158154,22.15676564,65.53522226
,15.5,167.4831751,51.76884938,20.8773874,65.69850324
,15.75,161.8138044,56.99826837,20.2290926,65.44350943
,16,160.8298008,56.99512223,21.16424351,65.60164915
,16.25,154.8774241,52.74204171,23.28697869,67.49915843
,16.5,152.4538764,48.55879578,23.92379925,68.81653627
,16.75,145.516677,46.85577268,27.10790203,70.30493776
,17,137.9792986,44.45867703,30.96898522,72.04360621
,17.25,122.3855454,45.62161034,35.58736852,74.2801771
,17.5,111.460454,45.85293671,40.05084954,75.97678588
,17.75,96.20906202,47.16000553,49.14992522,78.12654885
,18,78.35463757,49.3825721,57.85313948,80.48935308
,18.25,59.69189044,51.89258739,67.28496825,82.91761144
,18.5,45.90534202,61.4482954,76.91185917,82.99996852
,18.75,34.00138653,68.85649461,88.04187609,83.25833491
,19,23.77986037,80.10283525,97.70318974,82.39459228
,19.25,20.70928334,89.46410401,107.2210753,80.80560266
,19.5,20.57032158,99.30811313,116.039032,78.64027896
,19.75,21.09159328,103.9775451,123.4227082,77.51922395
,20,20.69890389,103.2341204,129.7737024,77.74725973
,20.25,23.05614282,104.5789993,134.4494569,77.07123953
,20.5,24.73949315,108.2889973,136.0214284,75.97745947
,20.75,22.79192512,110.3042112,135.1608601,75.84124504
,21,20.27000313,109.0995173,133.9331159,76.51246232
,21.25,21.48349125,106.7403337,130.8178586,76.84256723
,21.5,21.52105272,105.9399905,124.9200971,77.01441146
,21.75,21.09179127,105.7286124,119.3723,77.1300662
,22,24.75155455,102.9703744,113.2565278,77.15744585
,22.25,26.91936914,103.7222843,105.4540417,76.64350442
,22.5,33.99174701,100.7060802,97.84088067,76.18219154
,22.75,42.07032863,98.11552304,91.12844779,75.46529785
,23,52.34968558,90.38598719,84.38159217,75.53827538
,23.25,66.67930175,82.47070324,76.85448795,75.00448878
,23.5,88.96601434,75.27518316,73.23436389,73.03761923
,23.75,106.4466692,63.49851721,69.24132689,72.85775133
2,0,133.3918154,58.46347922,64.58278373,69.66542527
,0.25,151.9384732,50.52814726,60.91676269,68.46136712
,0.5,163.4287231,56.28380144,57.99656753,65.34389288
