Day,Hour,HVAC (kW),EWH (kW),EV Charger (kW),Inflexible Load (kW)
1,0,78.19277108,46.49492022,34.96673793,71.55695213
,0.25,103.0826998,58.38842144,44.48104134,64.93156327
,0.5,127.5683565,49.58673769,52.52445675,62.96978792
,0.75,145.1215869,47.05579505,47.48973224,60.72370275
,1,151.9917695,44.17712564,43.08822068,60.26417784
,1.25,158.0687912,41.14279999,38.39798385,59.96614897
,1.5,162.7970408,43.18379597,33.81803263,58.75607437
,1.75,172.6854056,43.43972623,30.80066759,57.1170626
,2,174.4174844,49.73969326,27.35826919,55.43993733
,2.25,179.501847,45.95516084,23.4053351,55.46744651
,2.5,178.7285205,44.75140229,21.42267224,55.85868066
,2.75,179.4169459,37.63122028,19.49081511,57.33079525
,3,176.6378765,35.13288724,16.61347563,58.33063149
,3.25,169.6606534,36.77068438,14.62337778,59.08303226
,3.5,162.0982174,38.65984542,13.74604947,59.87320845
,3.75,157.3587912,43.97351323,10.75842436,59.45070158
,4,149.0861948,45.97874778,9.825333653,60.32870933
,4.25,141.1995187,51.05489612,10.00625164,60.46254454
,4.5,139.9513396,50.35963636,8.33957567,60.81675537
,4.75,135.9473313,51.89975679,7.059518959,61.11514771
,5,130.7387096,53.41416551,7.275133545,61.61199191
,5.25,125.8421531,61.27026801,7.561380496,60.6496404
,5.5,117.539229,68.84370361,7.35444006,60.29512256
,5.75,103.732438,79.58413444,8.981462772,60.11744672
,6,95.452072,82.71474386,9.214425659,60.74661429
,6.25,82.2999703,93.0746451,10.60848548,60.54875028
,6.5,65.88305166,99.13216843,10.74727188,61.82934097
,6.75,51.99077278,108.9872709,9.903401004,61.86208282
,7,43.58196615,114.0666099,9.759657946,62.07874989
,7.25,31.78563642,116.7017701,10.78816431,63.38057148
,7.5,28.36118887,117.9192535,10.41889335,63.65793123
,7.75,31.14123817,114.6101044,10.12273308,63.94848981
,8,32.45145845,111.1432983,12.30242307,64.50925591
,8.25,31.87229034,100.7669795,15.27146071,66.90777144
,8.5,36.45742386,93.00667243,17.03974815,67.89866275
,8.75,37.08591781,86.86759632,18.8043181,69.16234286
,9,39.97014556,82.85407167,20.70643528,69.59276078
,9.25,40.54577707,78.96067306,21.99516614,70.36585943
,9.5,44.10432839,75.32452428,23.01995501,70.60452428
,9.75,45.80243842,75.80870863,24.67795683,70.22523016
,10,51.31019312,74.72249182,26.97908492,69.58537092
,10.25,43.84308849,78.11754323,31.25296255,70.02565179
,10.5,38.55344917,79.39262267,34.70527426,70.5886431
,10.75,35.9180992,79.62779021,37.46489314,70.95803964
