Day,Hour,HVAC (kW),EWH (kW),EV Charger (kW),Inflexible Load (kW)
1,0,83.34381024,45.39225547,62.28471832,76.57782248
,0.25,102.484547,63.87966003,80.59791439,69.40699247
,0.5,125.9308437,56.20717191,95.89790553,67.36058237
,0.75,131.1404619,57.64889942,89.33266373,66.20665955
,1,136.2927999,56.65217548,83.85217571,65.60377969
,1.25,143.4453971,56.41245487,78.74745207,64.51263538
,1.5,155.5535341,55.96652415,73.69235769,62.67442918
,1.75,164.7247483,53.75933745,69.49514047,61.69752084
,2,169.5233482,54.4492241,66.49611533,60.77643671
,2.25,170.0605625,55.76718451,59.99468258,60.39760233
,2.5,168.8920505,53.4127461,53.40108121,61.10777279
,2.75,167.471206,51.42008986,45.50293935,61.77792041
,3,160.8787295,47.58819994,40.24223804,63.68424774
,3.25,155.2486138,49.73266364,32.75531004,64.10851876
,3.5,151.1825088,47.73898888,27.98381141,65.20213439
,3.75,153.0516871,48.28488644,27.71439544,64.7817553
,4,153.2861976,43.26034896,26.52329326,65.86079751
,4.25,154.2326914,42.63233048,23.34702077,65.84891815
,4.5,148.9802735,38.79676202,22.17009837,67.54165357
,4.75,147.1665611,38.14450341,21.46819887,67.97679392
,5,143.2400238,37.49553306,18.07213967,68.74925551
,5.25,133.4286307,44.91023286,15.80337361,68.67136734
,5.5,120.6899851,55.66664115,16.18622788,68.31923769
,5.75,110.9457916,64.94785525,14.36412514,67.81581663
,6,101.5956593,73.12479937,15.54813743,67.49473909
,6.25,89.12878657,82.68170383,16.71088003,67.36568219
,6.5,76.77428298,93.06668683,17.12918378,67.03462876
,6.75,68.66061629,103.1690775,18.80948864,66.08783972
,7,58.71516669,108.742105,21.95740155,66.44066111
,7.25,49.33253604,107.4455362,20.70958022,68.2300084
,7.5,44.3151791,102.2827363,20.86555789,70.18007438
,7.75,42.54129668,96.09803473,20.48270361,71.8382737
,8,40.03517247,91.89168574,21.96449145,73.1739978
,8.25,41.83348619,82.09813397,23.43209949,75.06261244
,8.5,42.56165837,70.37836651,28.6928008,77.55049766
,8.75,47.88737022,60.91470627,30.75595994,78.80141937
,9,48.08237428,57.52877147,37.05178577,79.52264868
,9.25,53.00779624,55.88597056,40.28477741,79.09964803
,9.5,56.66380839,55.14875906,42.1635993,78.67851087
,9.75,60.6527154,56.54676682,40.32731677,77.72961735
,10,60.05819612,58.95485332,43.79427491,77.28961011
,10.25,62.35613938,61.19235654,46.67986175,76.42471625
,10.5,57.95723879,61.26506024,46.69404153,77.11238396
,10.75,52.85482443,66.87813514,48.06948096,76.68142028
,11,50.37230118,70.57898416,52.20288913,76.25621311
,11.25,57.50527022,74.86489076,55.19482438,74.16251437
,11.5,68.63924229,73.83440137,56.74751115,72.61007649
,11.75,86.90461,74.77715598,60.50515494,69.47811663
,12,100.5018928,73.06374352,63.35529231,67.68330971
,12.25,118.5549991,72.56993877,64.68110248,64.90454709
,12.5,126.7792853,69.37962531,64.45422587,64.29761984
,12.75,133.7792303,66.49886327,62.28471832,63.81779799
,13,138.3936424,61.18342154,60.73912144,64.26070132
,13.25,148.2503116,58.26600803,59.98050279,63.33194836
,13.5,150.7732538,56.49023692,58.05205164,63.32289341
,13.75,156.5050514,55.75947413,53.98245251,62.56819753
,14,159.194194,52.76790359,53.20256418,62.80272817
,14.25,163.8994307,50.20240354,51.22448377,62.62000141
,14.5,167.63728,46.96620368,48.88481876,62.74110105
,14.75,170.4179558,45.04976831,47.91350329,62.72206745
,15,172.6431612,43.66520187,47.34631178,62.67371601
,15.25,170.3193991,43.01122305,48.31053735,63.19084658
,15.5,163.6972999,41.19709762,47.93477298,64.65352143
,15.75,166.5915421,39.81647179,47.52355913,64.49724842
,16,162.6932366,37.83368418,47.94895276,65.56159678
,16.25,157.9387295,34.61628178,49.00534696,67.03729622
,16.5,153.840991,32.50364348,49.36693155,68.16240955
,16.75,149.4573952,31.73659239,51.69241677,69.03424067
,17,138.8644681,33.09107959,55.25863342,70.42811185
,17.25,125.0999816,32.11082555,63.30566305,72.84826393
,17.5,111.3435934,32.53936774,69.99852294,74.95405445
,17.75,100.5448192,32.54711319,79.84638563,76.68013711
,18,82.72838691,36.58231087,91.03423828,78.63405568
,18.25,68.66404178,41.00360922,102.8814511,79.90184016
,18.5,51.16180647,48.82249345,109.5388615,80.96466798
,18.75,46.11939685,55.59595711,120.0531742,80.26623937
,19,37.46660972,63.44628402,128.8800922,79.90616822
,19.25,37.13005886,72.73141288,136.6222564,77.89665439
,19.5,34.39124054,81.59180871,142.8259136,76.36588847
,19.75,35.83117597,90.39717777,147.7533899,74.17875012
,20,33.01823545,97.3310539,149.9228974,73.08795924
,20.25,34.02446401,105.5151556,151.4968539,71.10827341
,20.5,36.09107456,110.1550492,148.3418511,69.74652825
,20.75,37.2398187,114.7232602,147.2287377,68.54757119
,21,38.96562414,116.1208322,148.3064016,67.96087076
,21.25,37.9340142,118.6016244,146.6402765,67.5746412
,21.5,38.18729785,120.0815936,141.996396,67.20523375
,21.75,35.11720427,121.2201815,139.2809666,67.4434292
,22,35.5992039,118.8598777,136.0834244,67.89082121
,22.25,34.06194661,118.0353508,129.3480252,68.32001059
,22.5,37.1632477,110.2721077,125.8385277,69.54896755
,22.75,43.41586969,105.8029773,124.0164249,69.54168811
,23,55.48774975,93.91375102,120.4289386,70.25223759
,23.25,67.2918923,88.32953654,117.0045198,69.60451133
,23.5,87.75055061,79.44605874,118.8478922,68.30523218
,23.75,106.5469379,71.92956551,120.4998375,66.96814205
2,0,136.0604109,70.13563279,120.0602641,62.64463808
,0.25,153.9985236,60.78543307,122.6693451,61.8523622
