Day,Hour,HVAC (kW),EWH (kW),EV Charger (kW),Inflexible Load (kW)
1,0,96.70494544,42.49229145,31.77031909,58.2844773
,0.25,120.6313945,59.44477002,40.1369205,50.68902799
,0.5,148.4156846,54.88728541,48.01404727,47.25631592
,0.75,158.8472903,44.61438265,41.29230831,47.87012629
,1,165.8266479,38.61551212,36.74190163,48.08651142
,1.25,167.415457,40.19657773,28.86192908,47.48095405
,1.5,169.6842352,44.18199659,25.51528851,46.23230091
,1.75,173.4421325,46.52624269,21.23807698,45.11009375
,2,175.5678559,48.91403207,17.90566533,44.23935816
,2.25,175.2555919,50.80396932,18.07072073,43.86933433
,2.5,175.8277811,48.52787081,16.82995943,44.28358373
,2.75,177.7236401,46.58627776,14.78668739,44.41171141
,3,177.5621703,44.32245667,10.73429269,44.94061794
,3.25,174.9551666,44.01383537,13.76220558,45.42632103
,3.5,173.777536,43.98946283,10.81112883,45.62015806
,3.75,167.4869762,50.9403316,11.22092155,45.08201012
,4,163.2435599,54.26368923,8.110480957,45.02243281
,4.25,158.3663318,58.01424556,7.535632833,44.96933235
,4.5,153.212609,56.33744284,2.970997235,46.16655082
,4.75,149.3244559,54.9532307,2.427452722,47.09625801
,5,144.939713,53.90759704,2.023351565,48.03017992
,5.25,141.4287801,55.1525967,2.023351565,48.31526259
,5.5,130.7099967,63.50984956,2.023351565,48.17310062
,5.75,124.1749676,72.24193218,2.023351565,47.27824248
,6,115.7886185,82.88111922,2.023351565,46.25579455
,6.25,106.438302,90.70982045,2.233939492,46.01213381
,6.5,90.60494686,99.5555379,5.062647587,46.57975564
,6.75,81.07411657,102.9506511,7.848668941,47.35021889
,7,70.35892849,105.3379118,10.19928553,48.53414659
,7.25,60.45184052,103.7011069,10.43833128,50.4830151
,7.5,52.76335255,104.7057695,10.03423012,51.48991481
,7.75,48.79891885,102.1758845,7.495791874,52.68642087
,8,41.2908273,100.897973,7.279512382,54.17169584
,8.25,36.09092833,97.07073941,3.110440592,55.85417604
,8.5,36.03683554,95.06844759,4.012553737,56.30778463
,8.75,38.78878313,89.84368801,3.002300846,57.0285307
,9,41.88480833,82.08314148,6.126970351,58.25773256
,9.25,43.36271001,72.90378849,8.5003532,60.06112451
,9.5,47.19905952,65.12719578,12.95115749,61.1754403
,9.75,46.89251976,62.43641248,13.08775506,61.82243851
