Day,Hour,HVAC (kW),EWH (kW),EV Charger (kW),Inflexible Load (kW)
1,0,100.8410758,72.08801956,45.04842429,79.84586797
,0.25,127.9235757,98.3564434,56.72006149,69.67524046
,0.5,164.9895002,88.05711886,67.15172944,66.03343133
,0.75,179.4955077,90.69321298,61.25903151,63.12667145
,1,191.9387713,82.93432054,55.79861645,62.85994759
,1.25,204.1740079,73.61892776,50.53159108,62.97239701
,1.5,209.5482376,70.80853881,47.23259032,62.73705113
,1.75,216.6114211,67.33252213,44.54788624,62.37938992
,2,211.5740741,70.79166667,42.35234435,62.41666667
,2.25,214.1176471,67.64238692,38.10914681,62.70953493
,2.5,211.5192974,69.89004307,34.75326672,62.62579174
,2.75,214.1810947,64.47479152,31.62490392,63.4032934
,3,207.6308413,67.36727607,27.34757879,63.8085596
,3.25,205.3392895,64.94856414,24.13958493,64.71269943
,3.5,204.3020079,61.11210373,20.96571868,65.73121124
,3.75,199.7191628,57.87739699,19.42997694,67.18329018
,4,186.7043467,59.504239,16.59738663,68.90414031
,4.25,179.5342528,68.91684377,15.94896234,67.95966539
,4.5,176.5391241,77.45761175,14.4132206,66.54093753
,4.75,168.7261632,82.79014672,13.73066872,66.6060035
,5,161.1537943,93.15972503,11.99016141,65.51323179
,5.25,155.562401,99.71765534,12.24043044,64.95053688
,5.5,143.1831988,112.8674824,11.29623367,64.00902543
,5.75,126.6042671,122.7554974,10.53405073,64.46431783
,6,110.7945729,139.5309752,9.282705611,63.26598496
,6.25,104.8832188,148.7368793,7.940353574,62.16604514
,6.5,89.81681034,158.5668103,7.166794773,62.39224138
,6.75,76.83118047,161.2325842,7.599077633,63.87754797
,7,66.62755556,161.1904,6.50699462,65.51950222
,7.25,60.85115468,152.241967,8.361260569,68.43226702
,7.5,60.06558102,135.6837374,10.15864719,72.2375654
,7.75,59.7208413,118.9362906,10.97770945,76.01437859
,8,59.00224613,104.863459,12.26318217,79.25664972
,8.25,51.6301742,93.92104843,15.58493467,82.86782803
,8.5,50.5546178,89.79310345,15.8010761,83.95723816
,8.75,46.23269271,86.53093614,16.31299001,85.37367225
,9,50.58669039,84.053374,17.49607994,85.22760198
,9.25,55.78724156,76.32585262,19.07732513,86.11274077
,9.5,62.45436291,76.34063527,21.56863951,85.04271632
,9.75,62.02531646,78.79911943,25.36817832,84.56503394
,10,61.05234851,89.60953747,29.70238278,82.31839369
